sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0000,06.2_methods.tex,"While \citet{wang2022compilable} aims at employing compiler feedback to obtain erroneous code, CodeRL \cite{le2022coderl} empirically defines fixed reward values for different execution result types based on unit tests.",wang2022compilable;le2022coderl,2401.00812,"If LLM Is the Wizard, Then Code Is the Wand: A Survey on How Code Empowers Large Language Models to Serve as Intelligent Agents",wang2022compilablele2022coderl,2,2,Compilable neural code generation with compiler feedback.Coderl: Mastering code generation through pretrained models and deep reinforcement learning.,,,,"Xin Wang, Yasheng Wang, Yao Wan, Fei Mi, Yitong Li, Pingyi Zhou, Jin Liu, Hao Wu, Xin Jiang, and Qun Liu. 2022. Compilable neural code generation with compiler feedback. arXiv preprint arXiv:2203.05132.Hung Le, Yue Wang, Akhilesh Deepak Gotmare, Silvio Savarese, and Steven Chu Hong Hoi. 2022. Coderl: Mastering code generation through pretrained models and deep reinforcement learning. Advances in Neural Information Processing Systems, 35:21314--21328.",bblbbl
s0006,main.tex,"\citeA{duggenpudi-etal-2019-samvaadhana} combine correctness and relevancy by asking users to rate the system output using the question/description `How relevant/correct is the answer retrieved.' In contrast to combining it with relevancy, \citeA{Bansal2021neural} actually contrast accurate responses to relevancy: `The response is accurate, even if it is not relevant to my question.' A different approach is taken by \citeA{nuruzzaman2020intellibot}, who ask participants to rank utterances by dif",duggenpudi-etal-2019-samvaadhana;Bansal2021neural;nuruzzaman2020intellibot,2312.13871,"Evaluating Task-oriented Dialogue Systems: A Systematic Review of Measures, Constructs and their Operationalisations",duggenpudi-etal-2019-samvaadhanaBansal2021neuralnuruzzaman2020intellibot,3,3,{S}amvaadhana: A {T}elugu Dialogue System in Hospital Domain\BBOQ A neural question answering system for basic questions about subroutines\BBCQ\\BBOQ Intellibot: a dialogue-based chatbot for the insurance industry\BBCQ\,"Duggenpudi, Suma Reddy and Siva Subrahamanyam Varma, Kusampudi and Mamidi, Radhika",2019,"In this paper, a dialogue system for Hospital domain in Telugu, which is a resource-poor Dravidian language, has been built. It handles various hospital and doctor related queries. The main aim of this paper is to present an approach for modelling a dialogue system in a resource-poor language by combining linguistic and domain knowledge. Focusing on the question answering aspect of the dialogue system, we identified Question Classification and Query Processing as the two most important parts of the dialogue system. Our method combines deep learning techniques for question classification and computational rule-based analysis for query processing. Human evaluation of the system has been performed as there is no automated evaluation tool for dialogue systems in Telugu. Our system achieves a h","duggenpudi-etal-2019-samvaadhana, title = ""{S}amvaadhana: A {T}elugu Dialogue System in Hospital Domain"", author = ""Duggenpudi, Suma Reddy and Siva Subrahamanyam Varma, Kusampudi and Mamidi, Radhika"", booktitle = ""Proceedings of the 2nd Workshop on Deep Learning Approaches for Low-Resource NLP (DeepLo 2019)"", month = nov, year = ""2019"", address = ""Hong Kong, China"", publisher = ""Association for Computational Linguistics"", url = ""https://aclanthology.org/D19-6126"", doi = ""10.18653/v1/D19-6126"", pages = ""234--242"", abstract = ""In this paper, a dialogue system for Hospital domain in Telugu, which is a resource-poor Dravidian language, has been built. It handles various hospital and doctor related queries. The main aim of this paper is to present an approach for modelling a dialogue system in Bansal, A., Eberhart, Z., Wu, L., \BBA\ McMillan, C. \BBOP2021\BBCP. \BBOQ A neural question answering system for basic questions about subroutines\BBCQ\ In {\Bem 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)}, \BPGS\ 60--71. IEEE.Nuruzzaman, M.\BBACOMMA\ \BBA\ Hussain, O. K. \BBOP2020\BBCP. \BBOQ Intellibot: a dialogue-based chatbot for the insurance industry\BBCQ\ {\Bem Knowledge-Based Systems}, {\Bem 196}, 105810.",bibbblbbl
s0007,Q-star.tex,"Advanced algorithms and multimodal attention mechanisms are needed to balance attention across different input media and resolve conflicts between modalities, especially when they provide contradictory information \cite{qiao2022initial,stewart2021multimodal,zhang2020multimodal}.","qiao2022initial,stewart2021multimodal,zhang2020multimodal",2312.10868,From Google Gemini to OpenAI Q* (Q-Star): A Survey of Reshaping the Generative Artificial Intelligence (AI) Research Landscape,qiao2022initialstewart2021multimodalzhang2020multimodal,3,3,"Initial images: using image prompts to improve subject representation in multimodal ai generated art,Multimodal modeling of collaborative problem-solving facets in triads,Multimodal intelligence: Representation learning, information fusion, and applications,",,,,"H. Qiao, V. Liu, and L. Chilton, ``Initial images: using image prompts to improve subject representation in multimodal ai generated art,'' in Proceedings of the 14th Conference on Creativity and Cognition, 2022, pp. 15--28.A. E. Stewart, Z. Keirn, and S. K. D’Mello, ``Multimodal modeling of collaborative problem-solving facets in triads,'' User Modeling and User-Adapted Interaction, pp. 1--39, 2021.C. Zhang, Z. Yang, X. He, and L. Deng, ``Multimodal intelligence: Representation learning, information fusion, and applications,'' IEEE Journal of Selected Topics in Signal Processing, vol. 14, no. 3, pp. 478--493, 2020.",bblbblbbl
s0013,2_Background.tex,"In contrast to encoder-only and encoder-decoder architectures, recently \citet{Wang2022WhatLM, Brown2020LanguageMA} suggest that the decoder-only architecture offers distinct advantages for LLMs.","Wang2022WhatLM, Brown2020LanguageMA",2312.03863,Efficient Large Language Models: A Survey,Wang2022WhatLMBrown2020LanguageMA,2,2,What Language Model Architecture and Pretraining Objective Work Best for Zero-Shot Generalization?Language models are few-shot learners.,Thomas Wang and Adam Roberts and Daniel Hesslow and Teven Le Scao and Hyung Won Chung and Iz Beltagy and Julien Launay and Colin Raffel,2022,,"Wang2022WhatLM, title = {What Language Model Architecture and Pretraining Objective Work Best for Zero-Shot Generalization?}, author = {Thomas Wang and Adam Roberts and Daniel Hesslow and Teven Le Scao and Hyung Won Chung and Iz Beltagy and Julien Launay and Colin Raffel}, year = {2022}, booktitle = {International Conference on Machine Learning}Tom Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared D Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel Ziegler, Jeffrey Wu, Clemens Winter, Chris Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, and Dario Amodei. Language models are few-shot learners. In Advances in Neural Information Processing Systems, volume 33, 2020. URL \url{https://proceedings.neurips.cc/paper_files/paper/2020/file/1457c0d6bfcb4967418bfb8ac142f64a-Paper.pdf}.",bibbbl
s0014,sample-acmsmall-submission-newversion.tex,"However, \citet{p17} and \citet{p28} utilized concept drift detectors to detect drifts explicitly.",p17;p28,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,p17p28,2,2,Analysis of Concept Drift in Fake Reviews DetectionDimensionality Reduction in the Context of Dynamic Social Media Data Streams,"Mohawesh, Rami and Tran, Son and Ollington, Robert and Xu, ShuxiangHeusinger, Moritz and Raab, Christoph and Schleif, Frank-Michael",20212022,,"p17, title = {Analysis of Concept Drift in Fake Reviews Detection}, author = {Mohawesh, Rami and Tran, Son and Ollington, Robert and Xu, Shuxiang}, journal = {Expert Systems with Applications}, volume = {169}, pages = {114318}, year = {2021}, doi = {10.1016/J.ESWA.2020.114318},p28, title = {Dimensionality Reduction in the Context of Dynamic Social Media Data Streams}, author = {Heusinger, Moritz and Raab, Christoph and Schleif, Frank-Michael}, journal = {Evolving Systems}, volume = {13}, number = {3}, pages = {387-401}, year = {2022}, doi = {10.1007/S12530-021-09396-Z},",bibbib
s0020,sample-acmsmall-submission-newversion.tex,"It does not correspond directly to a dataset; however, \citet{p11}\citep{p14} and \citet{p12} used NOAA reports as ground truth for the automatic classification of tweets.",p11;p14;p12,2312.02901,Concept Drift Adaptation in Text Stream Mining Settings: A Systematic Review,p11p14p12,3,3,ASSED: a Framework for Identifying Physical Events Through Adaptive Social Sensor Data FilteringEvent Detection in Noisy Streaming Data with Combination of Corroborative and Probabilistic SourcesConcept Drift Adaptive Physical Event Detection for Social Media Streams,"Suprem, Abhijit and Pu, CaltonSuprem, Abhijit and Pu, CaltonSuprem, Abhijit and Musaev, Aibek and Pu, Calton",201920192019,,"p11, title = {ASSED: a Framework for Identifying Physical Events Through Adaptive Social Sensor Data Filtering}, author = {Suprem, Abhijit and Pu, Calton}, booktitle = {Proceedings of the 13th {ACM} International Conference on Distributed and Event-based Systems ({DEBS} 2019)}, pages = {115-126}, publisher = {{ACM}}, year = {2019}, doi = {10.1145/3328905.3329510},p14, title = {Event Detection in Noisy Streaming Data with Combination of Corroborative and Probabilistic Sources}, author = {Suprem, Abhijit and Pu, Calton}, booktitle = {Proceedings of the 5th {IEEE} International Conference on Collaboration and Internet Computing ({CIC} 2019)}, pages = {168-177}, publisher = {{IEEE}}, year = {2019}, doi = {10.1109/CIC48465.2019.00029},p12, title = {Concept Drift Adaptive Physical Event Detection for Social Media Streams}, author = {Suprem, Abhijit and Musaev, Aibek and Pu, Calton}, booktitle = {Proceedings of the 15th World Congress on Services ({SERVICES} 2019) at Services Conference Federation ({SCF} 2019)}, series = {Lecture Notes in Computer Science}, volume = {11517}, pages = {92-105}, publisher = {Springer}, year = {2019}, doi = {10.1007/978-3-030-23381-5\_7},",bibbibbib
s0021,main.tex,"\subsubsection{Data Repetition} While \citet{kaplan2020scaling} and \citet{hoffmann2022empirical} both focus on scaling laws with unique data trained only for one epoch, ~\citet{hernandez2022scaling} study the scaling laws with a small fraction of repeated data in the training dataset and find that the text overlap may be harmful to model performance, causing a divergence from Kaplan's scaling law on model size larger than 100M parameters.",kaplan2020scaling;hoffmann2022empirical;hernandez2022scaling,2312.01700,Data Management For Training Large Language Models: A Survey,kaplan2020scalinghoffmann2022empiricalhernandez2022scaling,3,3,Scaling laws for neural language models.An empirical analysis of compute-optimal large language model training.Scaling laws and interpretability of learning from repeated data.,,,,"Jared Kaplan, Sam McCandlish, Tom Henighan, Tom B Brown, Benjamin Chess, Rewon Child, Scott Gray, Alec Radford, Jeffrey Wu, and Dario Amodei. 2020. Scaling laws for neural language models. arXiv preprint arXiv:2001.08361.Jordan Hoffmann, Sebastian Borgeaud, Arthur Mensch, Elena Buchatskaya, Trevor Cai, Eliza Rutherford, Diego de Las Casas, Lisa Anne Hendricks, Johannes Welbl, Aidan Clark, et al. 2022. An empirical analysis of compute-optimal large language model training. Advances in Neural Information Processing Systems, 35:30016--30030.Danny Hernandez, Tom Brown, Tom Conerly, Nova DasSarma, Dawn Drain, Sheer El-Showk, Nelson Elhage, Zac Hatfield-Dodds, Tom Henighan, Tristan Hume, et al. 2022. Scaling laws and interpretability of learning from repeated data. arXiv preprint arXiv:2205.10487.",bblbblbbl
s0024,main.tex,"Some papers define new metrics, such as an average disagreement between models~\cite{summers_nondeterminism_2021, zhuang_randomness_2022}, a change in performance when models are ensembled~\cite{summers_nondeterminism_2021}, a relative gain~\cite{ajith2023instructeval, zhuang_randomness_2022}, or a factor importance~\cite{pecher2024sensitivity}.","summers_nondeterminism_2021, zhuang_randomness_2022;summers_nondeterminism_2021;ajith2023instructeval, zhuang_randomness_2022;pecher2024sensitivity",2312.01082,A Survey on Stability of Learning with Limited Labelled Data and its Sensitivity to the Effects of Randomness,summers_nondeterminism_2021zhuang_randomness_2022ajith2023instructevalpecher2024sensitivity,4,4,Nondeterminism and {Instability} in {Neural} {Network} {Optimization}Randomness in {Neural} {Network} {Training}: {Characterizing} the {Impact} of {Tooling}InstructEval: Systematic Evaluation of Instruction Selection MethodsOn Sensitivity of Learning with Limited Labelled Data to the Effects of Randomness: Impact of Interactions and Systematic Choices,"Summers, Cecilia and Dinneen, Michael J.Zhuang, Donglin and Zhang, Xingyao and Song, Shuaiwen and Hooker, SaraAnirudh Ajith and Mengzhou Xia and Ameet Deshpande and Karthik R NarasimhanPecher, Branislav and Srba, Ivan and Bielikova, Maria",2021202220232024,"Nondeterminism in neural network optimization produces uncertainty in performance, making small improvements difficult to discern from run-to-run variability. While uncertainty can be reduced by training multiple model copies, doing so is time-consuming, costly, and harms reproducibility. In this work, we establish an experimental protocol for understanding the effect of optimization nondeterminism on model diversity, allowing us to isolate the effects of a variety of sources of nondeterminism. Surprisingly, we find that all sources of nondeterminism have similar effects on measures of model diversity. To explain this intriguing fact, we identify the instability of model training, taken as an end-to-end procedure, as the key determinant. We show that even one-bit changes in initial paramet","summers_nondeterminism_2021, title = {Nondeterminism and {Instability} in {Neural} {Network} {Optimization}}, url = {https://proceedings.mlr.press/v139/summers21a.html}, abstract = {Nondeterminism in neural network optimization produces uncertainty in performance, making small improvements difficult to discern from run-to-run variability. While uncertainty can be reduced by training multiple model copies, doing so is time-consuming, costly, and harms reproducibility. In this work, we establish an experimental protocol for understanding the effect of optimization nondeterminism on model diversity, allowing us to isolate the effects of a variety of sources of nondeterminism. Surprisingly, we find that all sources of nondeterminism have similar effects on measures of model diversity. To explazhuang_randomness_2022, title = {Randomness in {Neural} {Network} {Training}: {Characterizing} the {Impact} of {Tooling}}, volume = {4}, shorttitle = {Randomness in {Neural} {Network} {Training}}, url = {https://proceedings.mlsys.org/paper_files/paper/2022/hash/427e0e886ebf87538afdf0badb805b7f-Abstract.html}, language = {en}, urldate = {2024-03-08}, journal = {Proceedings of Machine Learning and Systems}, author = {Zhuang, Donglin and Zhang, Xingyao and Song, Shuaiwen and Hooker, Sara}, month = apr, year = {2022}, keywords = {area:machine\_learning, Computer Science - Machine Learning, Computer Science - Neural and Evolutionary Computing, dataset:celeba, dataset:cifar10, dataset:cifar100, dataset:imagenet, domain:classification, factor:augmentation, factor:implementation, factor:initialisaajith2023instructeval, title={InstructEval: Systematic Evaluation of Instruction Selection Methods}, author={Anirudh Ajith and Mengzhou Xia and Ameet Deshpande and Karthik R Narasimhan}, booktitle={R0-FoMo:Robustness of Few-shot and Zero-shot Learning in Large Foundation Models}, year={2023}, url={https://openreview.net/forum?id=6FwaSOEeKD}pecher2024sensitivity, title={On Sensitivity of Learning with Limited Labelled Data to the Effects of Randomness: Impact of Interactions and Systematic Choices}, author={Pecher, Branislav and Srba, Ivan and Bielikova, Maria}, journal={arXiv preprint arXiv:2402.12817}, year={2024}",bibbibbibbib
s0026,elsarticle-template-harv.tex,"Contrary to wait-$k$ policy which is a \textbf{fixed-policy}, {\bf Segmentation} can be performed on the embedded speech using CTC \citep{Ren2020SimulSpeechES}, attention mechanism \citep{Papi2022AttentionAA}, or incremental BEAM search \citep{Yan2023CMUsI2}.",Ren2020SimulSpeechES;Papi2022AttentionAA;Yan2023CMUsI2,2312.01053,End-to-End Speech-to-Text Translation: A Survey,Ren2020SimulSpeechESPapi2022AttentionAAYan2023CMUsI2,3,3,"\bibinfo{title}{Simulspeech: End-to-end simultaneous speech to text translation}, in: \bibinfo{booktitle}{Annual Meeting of the Association for Computational Linguistics}. %Type = Inproceedings\bibinfo{title}{Attention as a guide for simultaneous speech translation}, in: \bibinfo{booktitle}{Annual Meeting of the Association for Computational Linguistics}. %Type = Inproceedings\bibinfo{title}{Cmu’s iwslt 2023 simultaneous speech translation system}, in: \bibinfo{booktitle}{International Workshop on Spoken Language Translation}. %Type = Article",,,,"\bibinfo{author}{Ren, Y.}, \bibinfo{author}{Liu, J.}, \bibinfo{author}{Tan, X.}, \bibinfo{author}{Zhang, C.}, \bibinfo{author}{Qin, T.}, \bibinfo{author}{Zhao, Z.}, \bibinfo{author}{Liu, T.Y.}, \bibinfo{year}{2020}. \bibinfo{title}{Simulspeech: End-to-end simultaneous speech to text translation}, in: \bibinfo{booktitle}{Annual Meeting of the Association for Computational Linguistics}. %Type = Inproceedings\bibinfo{author}{Papi, S.}, \bibinfo{author}{Negri, M.}, \bibinfo{author}{Turchi, M.}, \bibinfo{year}{2022}b. \bibinfo{title}{Attention as a guide for simultaneous speech translation}, in: \bibinfo{booktitle}{Annual Meeting of the Association for Computational Linguistics}. %Type = Inproceedings\bibinfo{author}{Yan, B.}, \bibinfo{author}{Shi, J.}, \bibinfo{author}{Maiti, S.}, \bibinfo{author}{Chen, W.}, \bibinfo{author}{Li, X.}, \bibinfo{author}{Peng, Y.}, \bibinfo{author}{Arora, S.}, \bibinfo{author}{Watanabe, S.}, \bibinfo{year}{2023}. \bibinfo{title}{Cmu’s iwslt 2023 simultaneous speech translation system}, in: \bibinfo{booktitle}{International Workshop on Spoken Language Translation}. %Type = Article",bblbblbbl
s0027,04-arch.tex,"% In contrast to directly calculating pairwise attention, some methods~\cite{dao2022monarch, fu2023monarch, ding2023longnet, liu2023blockwise} explore the possibility of computing attention at a block level to parallelize the computation.","dao2022monarch, fu2023monarch, ding2023longnet, liu2023blockwise",2312.00678,The Efficiency Spectrum of Large Language Models: An Algorithmic Survey,dao2022monarchfu2023monarchding2023longnetliu2023blockwise,4,4,"Monarch: Expressive structured matrices for efficient and accurate trainingMonarch Mixer: A Simple Sub-Quadratic GEMM-Based ArchitectureLongnet: Scaling transformers to 1,000,000,000 tokensBlockwise Parallel Transformer for Long Context Large Models","Dao, Tri and Chen, Beidi and Sohoni, Nimit S and Desai, Arjun and Poli, Michael and Grogan, Jessica and Liu, Alexander and Rao, Aniruddh and Rudra, Atri and R{\'e}, ChristopherFu, Daniel Y and Arora, Simran and Grogan, Jessica and Johnson, Isys and Eyuboglu, Sabri and Thomas, Armin W and Spector, Benjamin and Poli, Michael and Rudra, Atri and R{\'e}, ChristopherDing, Jiayu and Ma, Shuming and Dong, Li and Zhang, Xingxing and Huang, Shaohan and Wang, Wenhui and Wei, FuruLiu, Hao and Abbeel, Pieter",2022202320232023,,"dao2022monarch, title={Monarch: Expressive structured matrices for efficient and accurate training}, author={Dao, Tri and Chen, Beidi and Sohoni, Nimit S and Desai, Arjun and Poli, Michael and Grogan, Jessica and Liu, Alexander and Rao, Aniruddh and Rudra, Atri and R{\'e}, Christopher}, booktitle={ICML}, pages={4690--4721}, year={2022}fu2023monarch, title={Monarch Mixer: A Simple Sub-Quadratic GEMM-Based Architecture}, author={Fu, Daniel Y and Arora, Simran and Grogan, Jessica and Johnson, Isys and Eyuboglu, Sabri and Thomas, Armin W and Spector, Benjamin and Poli, Michael and Rudra, Atri and R{\'e}, Christopher}, booktitle={NeurIPS}, year={2023}ding2023longnet, title={Longnet: Scaling transformers to 1,000,000,000 tokens}, author={Ding, Jiayu and Ma, Shuming and Dong, Li and Zhang, Xingxing and Huang, Shaohan and Wang, Wenhui and Wei, Furu}, journal={arXiv preprint arXiv:2307.02486}, year={2023}liu2023blockwise, title={Blockwise Parallel Transformer for Long Context Large Models}, author={Liu, Hao and Abbeel, Pieter}, journal={arXiv preprint arXiv:2305.19370}, year={2023}",bibbibbibbib
