pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b
r10_000,Code generation feedback signals,Neural code generation can be improved by using compiler feedback to identify erroneous code and guide correction.,wang2022compilable,"CodeRL improves code generation by empirically defining fixed reward values for different unit-test execution outcomes, used as a reinforcement learning training signal.",le2022coderl
r10_001,Correctness vs relevancy in dialogue evaluation,"Correctness and relevancy of a dialogue system's response should be evaluated jointly, having users rate 'how relevant/correct is the answer retrieved' as a single combined judgment.",duggenpudi-etal-2019-samvaadhana,Accuracy and relevancy are separate constructs when evaluating dialogue responses: a response can be accurate even if it is not relevant to the question asked.,Bansal2021neural
r10_002,Scaling laws and data repetition,"Scaling laws for neural language models were derived under training on unique data for only one epoch, describing a smooth relationship between model/data size and loss.",kaplan2020scaling,"When a small fraction of training data is repeated across epochs, model performance diverges from Kaplan's scaling law, with repeated data becoming harmful to performance for models larger than about 100M parameters.",hernandez2022scaling
r10_003,Granularity of knowledge editing in LLMs,Privacy-sensitive knowledge stored in pretrained language models can be located and removed by identifying individual 'privacy neurons' via a cumulative probability-based detection strategy (DEPN).,wu2023depn,"Rather than locating and editing an individual weight, factual knowledge in GPT-like models can be updated by modifying an entire feed-forward network (FFN) layer (ROME).",meng2022locating
r10_004,Direction of instruction-tuning data generation,Instruction-following training data can be generated by producing model responses to human-provided instructions (Self-Instruct).,wang2022self,"Instead of generating responses to given instructions, instruction-tuning data can be created by generating instructions for existing human-written text found online -- the reverse strategy (instruction backtranslation).",li2023self
r10_005,Syntactic vs lexical-semantic drivers of brain-LM alignment,"In studies of brain alignment with language models, syntactic processing tasks are the primary driver of the alignment between brain activity and language model representations.",oota2022joint,"Lexical-semantic content, not syntactic structure, is the main contributor to the similarity between artificial neural network representations and brain (fMRI) responses in the language network.",kauf2023lexical
r10_006,Classifier-guided vs classifier-free diffusion for text generation,"Controllable text generation with diffusion language models can be achieved through classifier-guided diffusion, i.e. using an external classifier to steer the diffusion process toward desired attributes (Diffusion-LM).",https://doi.org/10.48550/arxiv.2205.14217,"Sequence-to-sequence text generation with diffusion models can be achieved without an external classifier, using a classifier-free diffusion approach directed by spatial points instead (DiffuSeq).",https://doi.org/10.48550/arxiv.2210.08933
r10_007,Joint vs separate representation-space clustering for multimodal self-supervised learning,"Effective self-supervised multimodal representation learning from audio, video, and text can be achieved by clustering on a joint multimodal representation space, combined with a pairwise contrastive loss across modalities (MCN).",Chen2021MultimodalCN,"Effective self-supervised representation learning from audio and video can be achieved by clustering on separate, modality-specific representation spaces via cross-modal deep clustering (XDC), rather than a single joint representation space.",Alwassel2019SelfSupervisedLB
r10_008,Whether correct input-label mapping matters for in-context learning,The correctness of input-label mapping in few-shot demonstrations matters little to in-context learning performance; models can perform comparably well even with random or incorrect labels.,min2022rethinking,Ground-truth (correct) input-label mapping in in-context learning demonstrations does matter and significantly influences in-context learning performance.,ground_truth
r10_009,retrieval-augmented generation re-ranking,"Text generation can be steered effectively by exemplar-based adaptive decoding that directly incorporates retrieved exemplars into the decoding process, without requiring a separate re-ranking step over retrieved candidates.",peng2019text,"Effective retrieval-augmented text generation requires an explicit intermediate re-ranking stage between retrieval and generation, as in retrieve-rerank-rewrite pipelines that rerank retrieved templates before rewriting them into output.",DBLP:conf/acl/LiWLC18
r10_010,transfer learning for text classification,"Semi-supervised sequence learning using RNNs and autoencoders (e.g., pretraining a sequence autoencoder or RNN language model before task training) is an effective way to improve text classification and other sequence models.",Dai2015,"Effective transfer learning for text classification with LSTM-based language models requires novel fine-tuning techniques (discriminative fine-tuning, slanted triangular learning rates, and gradual unfreezing) rather than relying on RNN/autoencoder pretraining alone.",ulmfit
r10_011,subword segmentation for low-resource MT,"Using linguistically motivated subword segmentation units, rather than purely statistical ones, can affect neural machine translation quality for the Tamil-English language pair, though results are mixed.",dhar-etal-2020-linguistically,"A purely statistics-based, language-independent subword tokenizer (SentencePiece) can perform effective subword segmentation and detokenization for neural text processing without relying on linguistic knowledge of the specific language.",kudo-richardson-2018-sentencepiece
r10_013,Syntactic parsing in semantic query graph generation,"Semantic parsing for question answering over knowledge bases can be performed by using a syntactic parser (e.g. a CCG or dependency-tree parser) to help construct the semantic query graph from the input question (Reddy et al., 2014, large-scale semantic parsing without question-answer pairs).",reddy-etal-2014-large,"Semantic query graph generation for knowledge-base question answering can be achieved via a staged generation process without relying on any syntactic parser (Yih, Chang, He & Gao, 2015, staged query graph generation for QA with a knowledge base).",Scott_yih_and_Jianfeng_2015_SQG-Tx-KB
r10_014,Acoustic modeling for code-switched ASR,"A speech recognition system for code-switched (e.g. Mandarin-English) conversational speech can be built by training the acoustic model directly on bilingual, code-switched data (Vu et al., 2012, first speech recognition system for Mandarin-English code-switch conversational speech).",vu2012first,"Mixed-language (Hindi-English) automatic speech recognition can instead be achieved by reusing existing monolingual acoustic models together with a phone-mapped lexicon and a modified language model, rather than training a new bilingual acoustic model (Bhuvanagiri & Kopparapu, 2010, an approach to mixed language ASR).",bhuvanagiri2010approach
r10_015,Adversarial techniques in dialogue generation,"Adversarial techniques can be used to evaluate dialogue generation systems, by training a discriminator to distinguish machine-generated responses from human-written ones as a proxy for response quality (Kannan & Vinyals, 2017, adversarial evaluation of dialogue models).",kannan2017adversarial,"Rather than only being used for evaluation, adversarial learning can be applied directly inside the dialogue generation training process itself to improve the quality of the generated responses (Li et al., 2017, adversarial learning for neural dialogue generation).",li-EtAl:2017:EMNLP20175
r10_016,Seed-pair supervision for cross-lingual embeddings,"Learning a linear mapping between the word embedding spaces of two languages (e.g. for machine translation) requires a sizeable bilingual seed lexicon, on the order of thousands of translation pairs (as used with about 5000 pairs) (Mikolov, Le & Sutskever, 2013, exploiting similarities among languages for machine translation).",Mikolov2013b,"A cross-lingual word embedding mapping can instead be learned with almost no bilingual supervision, requiring as few as 25 seed translation pairs (Artetxe, Labaka & Agirre, 2017, learning bilingual word embeddings with almost no bilingual data).",Artetxe:2017acl
r10_017,Understandability evaluation of controlled natural languages,"Attempto Controlled English (ACE) has been empirically shown to be easier and faster for people to understand than a conventional ontology notation, when used for authoring or reading OWL statements (Kuhn, 2013, the understandability of OWL statements in controlled English).",kuhn2013swj,"In contrast, empirical experiments evaluating the understandability of the Rabbit controlled natural language for ontology authoring produced only mixed results (Hart, Johnson & Dolbear, 2008, Rabbit: developing a controlled natural language for authoring ontologies).",hart2008eswc
