sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0007,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0013,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0014,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0020,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0024,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0026,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0027,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0030,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0037,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0038,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0039,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0040,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0041,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0042,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0050,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0051,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0055,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0062,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0066,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0072,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0073,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0083,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0085,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0086,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0092,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0094,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0102,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0113,skipped,insufficient_context,,,,,,skipped_by_annotator
s0118,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0119,skipped,insufficient_context,,,,,,skipped_by_annotator
s0122,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0123,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0124,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0126,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
