sentence_id,file,sentence,cited_keys,survey_arxiv_id,survey_title,cited_keys_split,n_cited_keys,n_resolved,resolved_titles,resolved_authors,resolved_years,resolved_abstracts,resolved_context,resolution_source
s0000,18-598.tex,"For example, \citet{DBLP:journals/corr/ZophVSL17} build a sequential model from cells, in which each cell receives the outputs of the two preceding cells as input, while \citet{cai_path-level_2018} employ the high-level structure of well-known manually designed architectures, such as DenseNet \citep{huang_densely_2016}, and use their cells within these models.",DBLP:journals/corr/ZophVSL17;cai_path-level_2018;huang_densely_2016,1808.05377,Neural Architecture Search: A Survey,DBLP:journals/corr/ZophVSL17cai_path-level_2018huang_densely_2016,3,3,Learning transferable architectures for scalable image recognition.Path-{Level} {Network} {Transformation} for {Efficient} {Architecture} {Search}.Densely {Connected} {Convolutional} {Networks}.,,,,"Barret Zoph, Vijay Vasudevan, Jonathon Shlens, and Quoc V. Le. Learning transferable architectures for scalable image recognition. In Conference on Computer Vision and Pattern Recognition, 2018.Han Cai, Jiacheng Yang, Weinan Zhang, Song Han, and Yong Yu. Path-{Level} {Network} {Transformation} for {Efficient} {Architecture} {Search}. In International Conference on Machine Learning, June 2018{\natexlab{b}}.Gao Huang, Zhuang Liu, and Kilian Q. Weinberger. Densely {Connected} {Convolutional} {Networks}. In Conference on Computer Vision and Pattern Recognition, 2017.",bblbblbbl
s0001,18-598.tex,"\citet{DBLP:journals/corr/RealMSSSLK17} remove the worst individual from a population, while \citet{real_regularized_2018} found it beneficial to remove the oldest individual (which decreases greediness), and \citet{liu_hierarchical_2017} do not remove individuals at all.",DBLP:journals/corr/RealMSSSLK17;real_regularized_2018;liu_hierarchical_2017,1808.05377,Neural Architecture Search: A Survey,DBLP:journals/corr/RealMSSSLK17real_regularized_2018liu_hierarchical_2017,3,3,Large-scale evolution of image classifiers.Aging {Evolution} for {Image} {Classifier} {Architecture} {Search}.Hierarchical {Representations} for {Efficient} {Architecture} {Search}.,,,,"Esteban Real, Sherry Moore, Andrew Selle, Saurabh Saxena, Yutaka Leon Suematsu, Quoc V. Le, and Alex Kurakin. Large-scale evolution of image classifiers. International Conference on Machine Learning, 2017.Esteban Real, Alok Aggarwal, Yanping Huang, and Quoc V. Le. Aging {Evolution} for {Image} {Classifier} {Architecture} {Search}. In AAAI, 2019.Hanxiao Liu, Karen Simonyan, Oriol Vinyals, Chrisantha Fernando, and Koray Kavukcuoglu. Hierarchical {Representations} for {Efficient} {Architecture} {Search}. In International Conference on Learning Representations, 2018{\natexlab{b}}.",bblbblbbl
s0004,main.tex,"\\ In contrast to this, other approaches \cite{pearce2018highquality,su2018tight} directly predict a so called prediction interval (PI) \begin{align} PI(x) = \left[B_l, B_u\right] \end{align} in which the prediction is assumed to lay.","pearce2018highquality,su2018tight",2107.03342,A Survey of Uncertainty in Deep Neural Networks,pearce2018highqualitysu2018tight,2,2,"High-quality prediction intervals for deep learning: A distribution-free, ensembled approach,Tight prediction intervals using expanded interval minimization,",,,,"T. Pearce, A. Brintrup, M. Zaki, and A. Neely, ``High-quality prediction intervals for deep learning: A distribution-free, ensembled approach,'' in International Conference on Machine Learning.\hskip 1em plus 0.5em minus 0.4em\relax PMLR, 2018, pp. 4075--4084.D. Su, Y. Y. Ting, and J. Ansel, ``Tight prediction intervals using expanded interval minimization,'' arXiv preprint arXiv:1806.11222, 2018.",bblbbl
s0006,main.tex,"In contrast to this, the \textit{Static Calibration Error} (SCE) \cite{nixon2019measuring, ghandeharioun2019characterizing} considers the predictions of all classes (all-labels).","nixon2019measuring, ghandeharioun2019characterizing",2107.03342,A Survey of Uncertainty in Deep Neural Networks,nixon2019measuringghandeharioun2019characterizing,2,2,"Measuring calibration in deep learning,Characterizing sources of uncertainty to proxy calibration and disambiguate annotator and data bias,",,,,"J. Nixon, M. W. Dusenberry, L. Zhang, G. Jerfel, and D. Tran, ``Measuring calibration in deep learning,'' in CVPR Workshops, 2019, pp. 38--41.A. Ghandeharioun, B. Eoff, B. Jou, and R. Picard, ``Characterizing sources of uncertainty to proxy calibration and disambiguate annotator and data bias,'' in 2019 IEEE/CVF International Conference on Computer Vision Workshop.\hskip 1em plus 0.5em minus 0.4em\relax IEEE, 2019, pp. 4202--4206.",bblbbl
s0007,main.tex,"In contrast to the ECE and SCE, which group predictions into $M$ equally-spaced bins (what in general leads to different numbers of evaluation samples per bin), the adaptive calibration error \cite{nixon2019measuring,ghandeharioun2019characterizing} adaptively groups predictions into $R$ bins with different width but equal number of predictions.","nixon2019measuring,ghandeharioun2019characterizing",2107.03342,A Survey of Uncertainty in Deep Neural Networks,nixon2019measuringghandeharioun2019characterizing,2,2,"Measuring calibration in deep learning,Characterizing sources of uncertainty to proxy calibration and disambiguate annotator and data bias,",,,,"J. Nixon, M. W. Dusenberry, L. Zhang, G. Jerfel, and D. Tran, ``Measuring calibration in deep learning,'' in CVPR Workshops, 2019, pp. 38--41.A. Ghandeharioun, B. Eoff, B. Jou, and R. Picard, ``Characterizing sources of uncertainty to proxy calibration and disambiguate annotator and data bias,'' in 2019 IEEE/CVF International Conference on Computer Vision Workshop.\hskip 1em plus 0.5em minus 0.4em\relax IEEE, 2019, pp. 4202--4206.",bblbbl
s0009,004_Ensemble.tex,"In contrast to this, \cite{rahaman2020uncertainty,wen2020combining} stated with respect to uncertainty quantification that image augmentation can harm the calibration of an ensemble and post-processing calibration methods have to be slightly adapted when using ensemble methods.","rahaman2020uncertainty,wen2020combining",2107.03342,A Survey of Uncertainty in Deep Neural Networks,rahaman2020uncertaintywen2020combining,2,2,"Uncertainty quantification and deep ensembles,Combining ensembles and data augmentation can harm your calibration,",,,,"R. Rahaman and A. H. Thiery, ``Uncertainty quantification and deep ensembles,'' stat, vol. 1050, p. 20, 2020.Y. Wen, G. Jerfel, R. Muller, M. W. Dusenberry, J. Snoek, B. Lakshminarayanan, and D. Tran, ``Combining ensembles and data augmentation can harm your calibration,'' in International Conference on Learning Representations, 2021.",bblbbl
s0011,001_Intro.tex,"In contrast to this, several different approaches which model the model uncertainty and seek to separate it from the data uncertainty in order to receive an accurate representation of the data uncertainty were introduced \cite{kendall2017uncertainties, prior.network, deep.ensembles}.","kendall2017uncertainties, prior.network, deep.ensembles",2107.03342,A Survey of Uncertainty in Deep Neural Networks,kendall2017uncertaintiesprior.networkdeep.ensembles,3,3,"What uncertainties do we need in bayesian deep learning for computer vision?Predictive uncertainty estimation via prior networks,Simple and scalable predictive uncertainty estimation using deep ensembles,",,,,"A. Kendall and Y. Gal, ``What uncertainties do we need in bayesian deep learning for computer vision?'' in Advances in neural information processing systems, 2017, pp. 5574--5584.A. Malinin and M. Gales, ``Predictive uncertainty estimation via prior networks,'' in Advances in Neural Information Processing Systems, 2018, pp. 7047--7058.B. Lakshminarayanan, A. Pritzel, and C. Blundell, ``Simple and scalable predictive uncertainty estimation using deep ensembles,'' in Advances in neural information processing systems, 2017, pp. 6402--6413.",bblbblbbl
s0013,005character.tex,"On the other hand, they may be required to refrain from demonstrating knowledge or ability beyond the character's scope (\eg, an LLM could write code even if it is role-playing~\textit{Socrates}, which is unnecessarily expected)~\citep{shao2023character,lu2024large,yu2024neeko}.","shao2023character,lu2024large,yu2024neeko",2404.18231,From Persona to Personalization: A Survey on Role-Playing Language Agents,shao2023characterlu2024largeyu2024neeko,3,3,Character-llm: A trainable agent for role-playing.Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-AlignmentNeeko: Leveraging dynamic lora for efficient multi-character role-playing agent.,"Lu, Keming and Yu, Bowen and Zhou, Chang and Zhou, Jingren",2024,"Considerable efforts have been invested in augmenting the role-playing proficiency of open-source large language models (LLMs) by emulating proprietary counterparts. Nevertheless, we posit that LLMs inherently harbor role-play capabilities, owing to the extensive knowledge of characters and potential dialogues ingrained in their vast training corpora. Thus, we introduce Ditto, the first self-alignment method for role-play, which encourages an instruction-following LLM to simulate role-play dialogues as a variant of reading comprehension, and creates a role-play training set comprising 4000 characters, surpassing the scale of currently available datasets by tenfold regarding the number of roles. Subsequently, we fine-tune the LLM using this self-generated dataset to augment its role-playing","Yunfan Shao, Linyang Li, Junqi Dai, and Xipeng Qiu. Character-llm: A trainable agent for role-playing. arXiv preprint arXiv:2310.10158, 2023.lu2024large, title = ""Large Language Models are Superpositions of All Characters: Attaining Arbitrary Role-play via Self-Alignment"", author = ""Lu, Keming and Yu, Bowen and Zhou, Chang and Zhou, Jingren"", editor = ""Ku, Lun-Wei and Martins, Andre and Srikumar, Vivek"", booktitle = ""Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers)"", month = aug, year = ""2024"", address = ""Bangkok, Thailand"", publisher = ""Association for Computational Linguistics"", url = ""https://aclanthology.org/2024.acl-long.423"", doi = ""10.18653/v1/2024.acl-long.423"", pages = ""7828--7840"", abstract = ""Considerable efforts have been invested in augmenting the role-playing proficiency of open-source large language models (LLMs) by emulating proprietary counterparts.Xiaoyan Yu, Tongxu Luo, Yifan Wei, Fangyu Lei, Yiming Huang, Peng Hao, and Liehuang Zhu. Neeko: Leveraging dynamic lora for efficient multi-character role-playing agent. arXiv preprint arXiv:2402.13717, 2024.",bblbibbbl
s0015,007limitations.tex,"\textbf{Explicit bias}, on the other hand, involves conscious beliefs and attitudes that align with the presented context or assigned roles.} LLMs, despite being designed to avoid outputting stereotypes directly due to safety policies such as RLHF~\citep{ouyang2022training}, may still exhibit biases, particularly under RPLA conditions: \begin{inparaenum}[\it 1)] \item \textbf{Reasoning Bias}: This issue is compounded in scenarios where LLMs are assigned specific personas, leading to implicit bia","ouyang2022training;zheng2023helpful,10.1145/3582269.3615599,cheng2023marked,naous2024having",2404.18231,From Persona to Personalization: A Survey on Role-Playing Language Agents,ouyang2022trainingzheng2023helpful10.1145/3582269.3615599cheng2023markednaous2024having,5,5,"Training language models to follow instructions with human feedback.Is"" a helpful assistant"" the best role for large language models? a systematic evaluation of social roles in system prompts.Gender bias and stereotypes in Large Language ModelsMarked personas: Using natural language prompts to measure stereotypes in language models, 2023{\natexlab{a}}.Having beer after prayer? measuring cultural bias in large language models, 2024.","Kotek, Hadas and Dockum, Rikker and Sun, David",2023,"Large Language Models (LLMs) have made substantial progress in the past several months, shattering state-of-the-art benchmarks in many domains. This paper investigates LLMs’ behavior with respect to gender stereotypes, a known issue for prior models. We use a simple paradigm to test the presence of gender bias, building on but differing from WinoBias, a commonly used gender bias dataset, which is likely to be included in the training data of current LLMs. We test four recently published LLMs and demonstrate that they express biased assumptions about men and women’s occupations. Our contributions in this paper are as follows: (a) LLMs are 3-6 times more likely to choose an occupation that stereotypically aligns with a person’s gender; (b) these choices align with people’s perceptions better","Long Ouyang, Jeffrey Wu, Xu Jiang, Diogo Almeida, Carroll Wainwright, Pamela Mishkin, Chong Zhang, Sandhini Agarwal, Katarina Slama, Alex Gray, John Schulman, Jacob Hilton, Fraser Kelton, Luke Miller, Maddie Simens, Amanda Askell, Peter Welinder, Paul Christiano, Jan Leike, and Ryan Lowe. Training language models to follow instructions with human feedback. In Alice H. Oh, Alekh Agarwal, Danielle Belgrave, and Kyunghyun Cho (eds.), Advances in Neural Information Processing Systems, 2022. URL \url{https://openreview.net/forum?id=TG8KACxEON}.Mingqian Zheng, Jiaxin Pei, and David Jurgens. Is"" a helpful assistant"" the best role for large language models? a systematic evaluation of social roles in system prompts. arXiv preprint arXiv:2311.10054, 2023{\natexlab{a}}.10.1145/3582269.3615599, author = {Kotek, Hadas and Dockum, Rikker and Sun, David}, title = {Gender bias and stereotypes in Large Language Models}, year = {2023}, isbn = {9798400701139}, publisher = {Association for Computing Machinery}, address = {New York, NY, USA}, url = {https://doi.org/10.1145/3582269.3615599}, doi = {10.1145/3582269.3615599}, abstract = {Large Language Models (LLMs) have made substantial progress in the past several months, shattering state-of-the-art benchmarks in many domains. This paper investigates LLMs’ behavior with respect to gender stereotypes, a known issue for prior models. We use a simple paradigm to test the presence of gender bias, building on but differing from WinoBias, a commonly used gender bias dataset, which is likely to be included in the trainingMyra Cheng, Esin Durmus, and Dan Jurafsky. Marked personas: Using natural language prompts to measure stereotypes in language models, 2023{\natexlab{a}}.Tarek Naous, Michael J. Ryan, Alan Ritter, and Wei Xu. Having beer after prayer? measuring cultural bias in large language models, 2024.",bblbblbibbblbbl
s0016,main.tex,"The Something-Something~\cite{goyal2017somethingv2} dataset, on the other hand, possesses both category-level and caption-level labels, rendering it particularly suitable for text-conditional video prediction tasks~\cite{Seer}.",goyal2017somethingv2;Seer,2310.10647,A Survey on Video Diffusion Models,goyal2017somethingv2Seer,2,2,"The"" something something"" video database for learning and evaluating visual common sense.Seer: Language instructed video prediction with latent diffusion models.",,,,"R. Goyal, S. Ebrahimi Kahou, V. Michalski, J. Materzynska, S. Westphal, H. Kim, V. Haenel, I. Fruend, P. Yianilos, M. Mueller-Freitag, et al. The"" something something"" video database for learning and evaluating visual common sense. In {\em ICCV}, 2017.X. Gu, C. Wen, J. Song, and Y. Gao. Seer: Language instructed video prediction with latent diffusion models. {\em arXiv:2303.14897}, 2023.",bblbbl
