sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0005,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0008,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0009,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0010,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0011,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0014,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0015,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0021,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0022,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0025,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0026,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0027,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0031,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0032,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0033,skipped,insufficient_context,,,,,,skipped_by_annotator
s0034,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0038,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0039,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0041,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0042,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0045,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0047,skipped,insufficient_context,,,,,,skipped_by_annotator
s0052,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0053,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0054,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0055,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0059,skipped,not_genuine_contrast: the two refs (physician gender bias in clinical evaluation) are co-cited and unrelated to the sentence's actual claim about human-validation scope/methodology; not contrasted with each other,,,,,,skipped_by_annotator
s0061,skipped,"not_genuine_contrast: co-cited as parallel supporting examples for the same claim that prompt variation causes inconsistent LLM results, not contrasted with each other",,,,,,skipped_by_annotator
s0062,skipped,"not_genuine_contrast: co-cited together supporting the same description of philosophy's methodological toolkit, not contrasted with each other",,,,,,skipped_by_annotator
s0063,skipped,"not_genuine_contrast: both are methodological citations for the survey's own annotation/statistics procedure (dataset + Cohen's kappa extension), not two contrasted works",,,,,,skipped_by_annotator
s0072,skipped,insufficient_context: kweon2024publicly's abstract describes an unrelated topic (a clinical LLM built on synthetic notes) with no mention of the rubric-based GPT-4 scoring method the sentence attributes to it; jones2024teaching has no abstract/context beyond a bare bibliographic entry to confirm its described evaluation method,,,,,,skipped_by_annotator
s0074,skipped,"not_genuine_contrast: co-cited together as examples of approaches that suffer hallucinations, not contrasted with each other",,,,,,skipped_by_annotator
s0075,skipped,not_genuine_contrast: the two works use different rule-based taggers (HeidelTime vs SUTime) for two different downstream tasks (question generation vs Wikipedia pretraining) -- not opposing claims about the same question,,,,,,skipped_by_annotator
s0076,skipped,"not_genuine_contrast: each citation illustrates a separate, independent failure mode (cultural variation vs description length), not contrasted against each other",,,,,,skipped_by_annotator
s0077,skipped,"not_genuine_contrast: co-cited together supporting the same human-centered-AI principle, not contrasted with each other",,,,,,skipped_by_annotator
s0083,skipped,"not_genuine_contrast: three works listed as parallel manifestations of the same general training principle, not contrasted",,,,,,skipped_by_annotator
s0085,skipped,"not_genuine_contrast: the citation describes an analogy/support relationship (method 'resonates with' Piaget's theory), not a contradiction",,,,,,skipped_by_annotator
s0087,skipped,not_genuine_contrast: three methods listed together as parallel examples for the same voice-quality-assessment task,,,,,,skipped_by_annotator
s0088,skipped,"not_genuine_contrast: different feature types (EEG+speech vs acoustic) listed as parallel examples for the same schizophrenia-detection task, not opposing claims",,,,,,skipped_by_annotator
s0093,skipped,not_genuine_contrast: two specialized reasoning-augmentation techniques (code simulation vs formal-logic checks) target different reasoning styles and are complementary rather than competing claims,,,,,,skipped_by_annotator
s0095,skipped,"insufficient_context: vatsal2024can2 and vatsal2024can have no abstract/context confirming the 'Implicit RAG' self-retrieval mechanism the sentence attributes to them; their titles concern GPT evaluation on biomedical/prior-authorization QA, not a retrieval-method contribution",,,,,,skipped_by_annotator
s0098,skipped,not_genuine_contrast: four refs co-cited as supporting examples for the same claim about the effectiveness of hard negatives,,,,,,skipped_by_annotator
s0099,skipped,"insufficient_context: the fine-tuning/pretraining side (yu2024automated, academicgpt) has no abstract confirming a fine-tuning/pretraining methodology specifically applied to peer-review feedback generation",,,,,,skipped_by_annotator
s0100,skipped,"not_genuine_contrast: three methods enumerated as parallel prior approaches to comparative opinion extraction, not contrasted",,,,,,skipped_by_annotator
s0104,skipped,not_genuine_contrast: two models are co-cited with a vague joint 'mixed results' description; no distinct individual claim is given for either,,,,,,skipped_by_annotator
s0108,skipped,"not_genuine_contrast: both refs are cited together as general background for the discriminative-vs-generative dichotomy itself, not as two works whose own claims conflict",,,,,,skipped_by_annotator
s0109,skipped,not_genuine_contrast: co-cited together as parallel examples of continuous-channel emergent-communication work,,,,,,skipped_by_annotator
s0110,skipped,"not_genuine_contrast: the contrast drawn is between the current survey and prior surveys collectively, not between the two cited surveys themselves",,,,,,skipped_by_annotator
