sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0013,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0015,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0036,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0039,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0045,skipped,insufficient_context,,,,,,skipped_by_annotator
s0219,skipped,insufficient_context,,,,,,skipped_by_annotator
s0220,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0318,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0319,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0350,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0404,skipped,insufficient_context,,,,,,skipped_by_annotator
s0702,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0757,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0759,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0911,skipped,insufficient_context,,,,,,skipped_by_annotator
s1122,skipped,insufficient_context,,,,,,skipped_by_annotator
s1437,skipped,insufficient_context,,,,,,skipped_by_annotator
s1624,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s1828,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
