sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0161,skipped,"not_genuine_contrast: BERT (Devlin et al., BERT: pre-training of deep bidirectional transformers), XLNet (Yang et al., generalized autoregressive pretraining), and T5 (Raffel et al., exploring the limits of transfer learning) are cited jointly as parallel examples of pre-trained language models that store knowledge implicitly in their parameters -- all three illustrate the same 'implicit approach' side of an implicit-vs-explicit knowledge storage contrast. Petroni et al. (Language models as knowledge bases?) is also cited jointly, not opposed to the other three. None of these four works disagree with each other; the actual contrast ('on the other hand') is with an explicit-knowledge-storage approach discussed earlier in the survey, which is not among the resolved cited_refs.",,,,,
s0162,skipped,"not_genuine_contrast: Vaswani et al. (Attention is all you need), Dosovitskiy et al. (vision transformer, image patches), and Bello et al. (attention augmented convolutional networks) are cited together simply as examples of where global/self-attention is applied (down-sampled images, image patches, or augmenting conv features) -- a joint list of use-cases, not a disagreement between the three works about a finding or method.",,,,,
s0164,skipped,"not_genuine_contrast: Calic et al. (Efficient Layout of Comic-Like Video Summaries) and Wang et al. (Video Collage: A Novel Presentation of Video Sequence) are cited jointly as both examples supporting the single claim that storyboards offer flexibility in data organization for browsing/navigation -- they agree with each other; the real contrast ('on the other hand') is with video-skim/timeline summaries discussed earlier in the survey, not present among these cited_refs.",,,,,
s0166,skipped,"not_genuine_contrast: Zhang et al. (fully supervised speaker diarization), von Neumann et al. (all-neural online source separation/diarization), and Fujita et al.'s two end-to-end diarization papers are all cited together purely as a list of examples that the survey groups under one taxonomy label, the 'Joint optimization' class -- they are jointly categorized, not opposed to one another.",,,,,
s0167,skipped,"not_genuine_contrast: Hershey et al. (deep clustering), Kolbaek et al. (multitalker utterance-level PIT), and Luo & Mesgarani (Conv-TasNet) are cited jointly as single-channel speech separation techniques that share the same limitation (ineffective in realistic multispeaker scenarios); Chen et al. (LibriCSS) and Watanabe et al. (CHiME-6) are cited only as the benchmark tasks/datasets being referenced, not as a competing claim. No pairwise disagreement exists among these five works.",,,,,
s0170,skipped,"insufficient_context: the sentence is a truncated, comment-laced LaTeX fragment ('...is regarded as faithful to the predic' cuts off mid-word) and neither citation (DeYoung et al.'s ERASER benchmark paper, Carton et al.'s evaluating human rationales paper) actually appears inside the visible 500-character span -- their \cite markers are beyond the truncation point. There is no way to tell from what's given which of the two resolved works, if either, is meant to be on which side of the 'on the other hand' sufficiency/comprehensiveness contrast.",,,,,
s0172,skipped,"not_genuine_contrast: this is a commented-out sentence (LaTeX '%' prefix) describing GCA (Zhu et al., graph contrastive learning with adaptive augmentation -- masks unimportant node features) versus node feature shuffle/NFS as used in Velickovic et al. (Deep Graph Infomax), Opolka et al. (Spatio-temporal DGI), and Ren et al. (HDGI). The relationship described is additive ('instead of masking..., NFS instead perturbs...') -- two different augmentation techniques that coexist in a self-supervised-learning taxonomy, not two works making opposing claims/findings about the same question.",,,,,
s0176,skipped,"not_genuine_contrast: the sentence states IGSD (Zhang et al., iterative graph self-distillation) 'is leveraging the concept of' BYOL (Grill et al., bootstrap your own latent) and is 'similar to' MERIT (Jin et al., multi-scale contrastive siamese networks) -- this is a statement of methodological similarity/building-upon, the opposite of a disagreement. 'On the other hand' here introduces a new taxonomy category (knowledge distillation) relative to the previous paragraph, not a contradiction between these three works.",,,,,
s0178,skipped,"not_genuine_contrast: Michel et al. (On Evaluation of Adversarial Perturbations for Seq2Seq Models) and Wallace et al. (Imitation Attacks and Defenses for Black-box MT) are cited jointly as two examples of works that use greedy search -- the sentence characterizes greedy search's general properties (fast but can get stuck in local minima) using both as illustrations of the same technique, not as opposing claims. The implicit contrast is with beam/exhaustive search discussed elsewhere in the survey, not represented in these two refs.",,,,,
s0180,skipped,"not_genuine_contrast: Zhang et al. (MEMO, single test sample), Iwasawa & Matsuo (test-time classifier adjustment, mini-batch), and Sun et al. (test-time training with self-supervision) are cited jointly to illustrate different implementation variants (single-sample vs. mini-batch, online tuning) of the same test-time-training concept as it differs from domain adaptation -- complementary examples within one described method, not a disagreement between the works.",,,,,
s0183,skipped,"not_genuine_contrast: Gan et al. (ThreeDWorld) and Gao et al. (VRKitchen) are cited jointly as two examples of simulators falling under the same 'human-computer interaction' category, both praised for realistic physics-based simulation -- they agree/complement, not contradict.",,,,,
s0184,skipped,"not_genuine_contrast: Chaplot et al. (Learning to Explore Using Active Neural SLAM) and Chen et al. (Learning Exploration Policies for Navigation) are cited jointly as examples supporting the single claim that learning-based approaches are more robust to sensor noise -- joint support of one claim, not a disagreement between the two.",,,,,
s0185,skipped,"not_genuine_contrast: Li et al. (Backdoor Attack on ML-based Android Malware Detectors) and Severi et al. (Explanation-Guided Backdoor Poisoning Attacks) are cited jointly as the two minority studies on poisoning attacks, contrasted (per the sentence) against the majority of evasion-attack studies which are not in cited_refs -- both works agree in focusing on poisoning attacks; there is no disagreement between them.",,,,,
s0186,skipped,"not_genuine_contrast: Feng et al.'s two papers (MobiDroid and 'a performance-sensitive malware detection system using deep learning on mobile devices') are both from the same author group and both propose on-device malware-detection approaches -- jointly listed as examples of the same category (on-device approaches), not opposed to each other.",,,,,
s0187,skipped,"not_genuine_contrast: Arp et al. (Drebin), Wei et al. (AMD, deep ground truth analysis), and Zhou & Jiang (Genome, dissecting android malware) are cited jointly as three examples of popular public research datasets for gathering malicious applications -- a joint list, not a disagreement.",,,,,
s0188,skipped,not_genuine_contrast: the same pairing recurs elsewhere in this survey -- Li et al. (Backdoor Attack on ML-based Android Malware Detectors) and Severi et al. (Explanation-Guided Backdoor Poisoning Attacks) are cited jointly as the only two primary studies investigating poisoning attacks; they agree in subject matter and are not opposed to one another.,,,,,
s0189,skipped,"not_genuine_contrast: Song et al. (models that remember too much), Zhang et al. (rethinking generalization), Carlini et al. (the secret sharer, unintended memorization), and Murakonda & Shokri (ML Privacy Meter) are all cited jointly in support of the single claim that overparameterized DNNs memorize training-data noise/details -- four works agreeing on the same phenomenon, not a pairwise disagreement.",,,,,
s0190,skipped,"not_genuine_contrast: Schmidt & Wiegand and Davidson et al. are both cited as hate-speech-detection work; Da San Martino et al. covers propaganda; Van Hee et al. covers cyberbullying detection -- all four are cited jointly merely as examples of different categories of harmful online content (hate speech, propaganda, cyberbullying), each illustrating a different item in a list, not disagreeing with one another. Brooke 2019 and Joksimovic et al. 2019, cited earlier in the same sentence as examples of 'hostility online' research, are likewise a joint listing.",,,,,
s0191,skipped,"not_genuine_contrast: Venugopalan et al. (Translating Videos to Natural Language, single-frame approach) uses a CNN pretrained per Krizhevsky et al. (ImageNet classification with deep CNNs, i.e. AlexNet) as a component/tool within its own pipeline -- Krizhevsky's work is cited as the backbone architecture Venugopalan's method relies on, not as a competing or opposing claim.",,,,,
s0193,skipped,"not_genuine_contrast: Kannisto et al., Xu et al., the 2018 IEEE ICC paper on green social CPS e-healthcare systems, and Horvath (Beyond advanced mechatronics) are cited jointly merely as four instances that use the term 'Social-Cyber-Physical-Systems' -- a joint terminology-usage citation, with no claims comparison between the works at all.",,,,,
s0196,skipped,"not_genuine_contrast: Yang et al. (breaking the softmax bottleneck) and Li et al. (efficient contextual representation learning with continuous outputs) are cited jointly in support of the single claim that transformer-based masked LMs require subtokenization for efficient vocabulary handling -- joint support, not disagreement.",,,,,
s0198,skipped,"not_genuine_contrast: Cramer et al. (transparency and trust in recommenders), Caruana et al. (intelligible models for healthcare/pneumonia risk), and Han et al. (explaining black-box predictions via influence functions) are cited jointly as three separate, complementary examples of ways explanations benefit AI systems (acceptance, verification, error-finding respectively) -- each illustrates a different benefit, none contradicts another.",,,,,
s0200,pair_created,,transformer vs. classic IR for TREC-COVID,A transformer-based retrieval effort that omitted dedicated language model fine-tuning struggled to achieve strong effectiveness in the TREC-COVID / technology-assisted-review biomedical search task.,lima2020denmark,"A classic linear retrieval model based on lexical features and trained via continuous active learning was highly competitive in the TREC 2020 COVID track, leading on at least one effectiveness measure and outperforming several deep-learning-based approaches including a transformer-based effort.",wang2020participation
s0210,skipped,"not_genuine_contrast: LeCun/Bengio/Hinton (Deep learning, Nature), Goodfellow et al. (Deep Learning textbook), and Shrestha & Mahmood (review of DL algorithms) are cited as general background references for deep learning; LeCun et al.'s two CNN papers (gradient-based learning applied to document recognition; convolutional networks and applications in vision) are cited as background for CNNs. All five are foundational/definitional citations, not competing claims about whether CNNs have 'such problems' -- no disagreement is expressed between any two of them.",,,,,
s0212,skipped,"not_genuine_contrast: Savenkov & Agichtein (CRQA, crowd-powered QA system) is cited as an example of an open/cross-domain agent, and Kucherbaev et al. (Human-Aided Bots) as an example of a closed-domain agent -- these are two examples illustrating two branches of a taxonomy (open-domain vs. closed-domain dialogue agents) attributed to Hussain et al.'s classification, not two works whose findings or claims disagree with each other.",,,,,
s0215,skipped,"not_genuine_contrast: Hastie et al. (I Remember You!, an empathic virtual tutor implementing conversational memory) is described as the only work implementing a memory/personalization feature, while Feine et al. (A Taxonomy of Social Cues for Conversational Agents) is cited as reporting that such cues are generally positive for trust/naturalness. This describes a research gap (little studied per Hastie) alongside its known benefit (per Feine's taxonomy survey) -- not two works making opposing claims about the same phenomenon.",,,,,
