sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0596,skipped,"not_genuine_contrast: Ding et al. 2014 (""Content-based citation analysis: The next generation of citation analysis"") discusses the general concept of citation function classification and its future development, while Lyu et al. 2021 (""The classification of citing motivations: a meta-synthesis"") proposes a comprehensive, diverse set of citation function labels built on prior research. These are complementary contributions on the same topic (a conceptual overview vs. a label-set proposal), not opposing claims — the sentence's 'on the other hand' most likely contrasts this pair with an earlier-described approach that is not among the resolved cited_refs.",,,,,
s0597,skipped,"not_genuine_contrast: He & Cheng 2021 (weighting methods for rare event identification) and Chen, Liaw & Breiman 2004 (random forest for imbalanced data) are cited jointly as examples of the SAME technique family (class weighting for the minority class), not as two works taking opposite positions. The 'on the other hand' contrasts weighting-as-a-strategy with a different strategy (e.g. resampling) discussed earlier in the survey but not present in cited_refs.",,,,,
s0602,skipped,"not_genuine_contrast: clip-vil (Shen et al. 2022), m6 (Lin et al. 2021), pmlr-v139-cho21a (Cho et al. 2021, VL-T5), and vlkd (Dai et al. 2022) are cited together purely as a list of works that all 'adopt a separate encoder-decoder architecture' — they agree with and exemplify the same architectural choice as each other. The actual contrast in the sentence is with a previously described 'unified VL encoder' architecture referenced elsewhere in the survey, not with any of these four resolved cited_refs.",,,,,
s0603,skipped,"not_genuine_contrast: Zhang et al. 2021 (adversarial attack survey) and Chen et al. 2021 (Codex/'Evaluating Large Language Models Trained on Code') are cited jointly as evidence for the single risk category of cyberattack code generation, while Sandbrink 2023 is cited for a different risk category (bioweapons). All three are jointly listed as supporting examples of the same overarching claim ('LLMs can be used for illegal purposes'), not as works disagreeing with each other.",,,,,
s0610,skipped,"not_genuine_contrast: Liu et al. 2023 (survey of prompting methods) and the PEFT library (Mangrulkar et al. 2022) are cited jointly as examples illustrating the same category of technique (continuous/soft prompting as parameter-efficient fine-tuning), not as opposing claims.",,,,,
s0615,skipped,"not_genuine_contrast: Huang et al. 2023 (study of LLM self-explanations) and Lanham et al. 2023 (measuring faithfulness in chain-of-thought) are cited together simply as examples of works 'moving in that direction' toward faithfulness/stability — they are grouped as aligned efforts, not as two sides of a dispute.",,,,,
s0616,skipped,"not_genuine_contrast: Liu et al. (LogiQA), Joshi et al. (TaxiNLI), and Han et al. (FOLIO) are cited jointly as three pieces of evidence all supporting the same claim that 'logical reasoning remains challenging for language models.' They agree with one another; there is no two-sided disagreement among them.",,,,,
s0620,skipped,"not_genuine_contrast: Gao et al. (RARR), He et al. (rethinking with retrieval), Zhao et al. (verify-and-edit), and Yu et al. (plug-and-play retrieval feedback) are cited together purely as a list of methods sharing the same 'retrieve after generation, then post-edit' strategy. They are joint examples of one category, not opposing works.",,,,,
s0621,skipped,not_genuine_contrast: Li et al. 2023 ('The web can be your oyster') and Luo et al. 2023 (SAIL) are cited jointly as examples of Internet-enhanced methods that share the same described caveat (susceptibility to noisy/low-quality web content). They agree with each other; no disagreement is present.,,,,,
s0622,skipped,"not_genuine_contrast: Shi et al. 2023a and Luo et al. 2023 (SAIL) are cited for the problem of irrelevant/noisy retrieved context distracting LLMs, while Shi et al. 2023b (REPLUG) is cited for a separate, non-contradictory problem (context length exceeding input limits and raising cost). These are two different, co-occurring drawbacks of retrieval-augmentation being enumerated side by side, not a disagreement between the cited works about the same question.",,,,,
s0624,skipped,"not_genuine_contrast: SHFR (Zhou et al., multi-class heterogeneous domain adaptation) and DACoM (Li & Zhang, semi-supervised domain adaptation via covariance matching) are cited jointly as two example instances of the same category ('feature representation-based methods') for the source+target-only data setting, not as opposing approaches.",,,,,
s0626,skipped,"not_genuine_contrast: Ozsoy et al. 2011 and Steinberger & Jezek 2004 are cited together simply as two example works using Latent Semantic Analysis for summarization — both illustrate the same LSA-based method, not competing claims.",,,,,
s0629,skipped,"not_genuine_contrast: Fuentes et al. 2007 (SVM), Shen & Li 2011 (learning to rank), and Ouyang et al. 2011 (SVR/regression models) are cited jointly as three example supervised-ML approaches to query-focused summarization ranking. They are a joint list of methods within the same paragraph's 'supervised machine learning' category, not two sides of a dispute.",,,,,
s0631,skipped,"not_genuine_contrast: Jin et al. (GNN survey for time series), Ji et al. (knowledge graph survey), Khan et al. (transformers-in-vision survey), Xiao et al. (point cloud representation survey), and Atluri et al. (spatio-temporal data mining survey) are each attached to one example construct (STGs, TKGs, videos, point cloud streaming, trajectories respectively) in a purely definitional enumeration of forms spatio-temporal data can take. This is a taxonomy list, not a disagreement between any two of the cited works.",,,,,
s0632,skipped,"not_genuine_contrast: Szegedy et al. 2013, Goodfellow et al. 2014, Chen & Liu 2023, and Carlini et al. 2023 are cited jointly to support one definitional claim (adversarial robustness as a tool for analyzing worst-case model behavior). They are joint supporting citations, not competing claims.",,,,,
