pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b
r16_000,classifier performance comparison,Gradient boosting classifiers achieve better results than random forest classifiers on the classification task under discussion.,barbaresi1,Logistic regression classifiers achieve better results than gradient boosting classifiers on the classification task under discussion.,martinc1
r16_001,transformer vs. classic IR for TREC-COVID,A transformer-based retrieval effort that omitted dedicated language model fine-tuning struggled to achieve strong effectiveness in the TREC-COVID / technology-assisted-review biomedical search task.,lima2020denmark,"A classic linear retrieval model based on lexical features and trained via continuous active learning was highly competitive in the TREC 2020 COVID track, leading on at least one effectiveness measure and outperforming several deep-learning-based approaches including a transformer-based effort.",wang2020participation
r16_002,Synthetic data scale vs GEC performance,"Stahlberg and Kumar (2021) built a grammatical error correction system by training on more than half a billion synthetic sentences generated via tagged corruption models, pursuing the strategy that massive synthetic data scale drives strong GEC performance.",stahlberg-kumar-2021-synthetic,"Tarnavskyi et al. (2022) achieved better grammatical error correction performance than that half-billion-sentence synthetic-data system through ensembling and knowledge distillation of large sequence taggers, using orders of magnitude less training data.",tarnavskyi-etal-2022-ensembling
r16_003,linear region density during training,"Zhu et al. (2020) observed that, for ReLU neural networks, the boundaries of linear regions move away from the training data, implying that the linear regions surrounding training points grow larger (become sparser) as training progresses.",zhu2020local,"He et al. (2021), in the 'Neural networks behave as hash encoders' study, conjectured the opposite: that linear regions near training samples become smaller through training (equivalently, activation-pattern boundaries become denser around the training samples), i.e. regions surrounding training points shrink rather than grow as training progresses.",HashEncoders
r16_004,video generation: consistency vs diversity,"Generating a video in a single whole-sequence pass -- as in I2VGen-XL, which performs image-to-video synthesis via cascaded diffusion models -- preserves temporal/content consistency across the generated frames, but this comes at the cost of reduced diversity in the output video.",zhang2023i2vgen,"Generating a video through a multi-step generation process -- as in EIDT-V, a zero-shot, training-free text-to-video method that exploits intersections in diffusion trajectories -- favors greater diversity in the generated output, but struggles to maintain consistency across the generated frames.",jagpal2025eidt
r16_005,diffusion modeling of discrete EHR sequences,"Kuo et al. (s-34) generate synthetic discrete time-series sequences by using Gaussian diffusion and treating the discrete data similarly to real-valued sequences, which requires further post-processing of the model's output to produce valid discrete values.",s-34,"Tian et al. (ehr-58) generate synthetic EHR time series by simultaneously modeling discrete variables with multinomial diffusion and continuous variables with Gaussian diffusion, preserving temporal dependencies via a bidirectional RNN instead of a U-net in the backward diffusion step, and without requiring any post-processing of the output.",ehr-58
r16_006,communication protocol encoding approach,"Giles and Jim (2003) show that communication protocols for multi-agent systems can be induced through an evolutionary approach, i.e. the communication message is encoded via an evolutionary search process rather than being explicitly predefined.",giles2003learning,"Sukhbaatar and Fergus (2016) show that multi-agent communication protocols can instead be learned end-to-end via gradient-based backpropagation, i.e. the communication message is encoded via a differentiable learning process rather than evolutionary search.",sukhbaatar2016learning
r16_007,cryo-EM structural heterogeneity modeling,"E2GMM (Chen and Ludtke, 2021) models 3D structural heterogeneity in cryo-EM using a set of Gaussians (a Gaussian mixture model) to automatically resolve structural variability among particles.",chen2021deep,"3DFlex (Punjani and Fleet, 2023) instead models structural heterogeneity in cryo-EM using a neural network that fits the 3D displacement field of each particle, jointly exploring its deformation field while refining a canonical density map, rather than using a Gaussian-mixture representation.",punjani20233dflex
r16_008,LLM compute-optimal scaling law,"Kaplan et al. (2020) propose that loss scales with model parameter count N and dataset size D via a multiplicative power-law relationship, L(N,D) = [(N/N_c)^(alpha_N/alpha_D) + D/D_c]^alpha_D.",kaplan2020scaling,"Hoffmann et al. (2022), in their 'Approach 3,' propose instead that loss follows an additive form, L(N,D) = E + A/N^alpha + B/D^beta, implying a different compute-optimal balance between model size and training data than Kaplan et al.'s power-law formula.",hoffmann2022training
r16_009,LLM hallucination vs retrieval,"Fine-tuned LLMs equipped with Wikidata-based retrieval, using a few-shot sequence-to-sequence semantic-parsing approach, can substantially reduce hallucination in LLM outputs, treating hallucination as an error that retrieval from a verified knowledge base should suppress.",xu2023fine,"In the CRUSH4SQL approach to Text-to-SQL, an LLM's own hallucinated (fabricated) schema elements can be deliberately used as query probes to rapidly retrieve the actual relevant tables and columns from a large database schema, treating hallucination as a useful signal to drive retrieval rather than purely an error to eliminate.",kothyari2023crush4sql
r16_010,induction vs abduction,"In Mill's System of Logic (1858), all methods of generating causal hypotheses are characterized under the single umbrella term 'induction', treating induction as the broad, general category for such reasoning rather than as a special case of some other inferential process.",Mill1858,"Harman (1965) argues that induction is not an independent, fundamental category but merely a specific instance of abduction -- understood comprehensively as Inference to the Best Explanation -- so that enumerative induction is properly a special case of IBE rather than a separate mode of reasoning.",Harman1965
