pair_id,topic,hypothesis_a,source_a,hypothesis_b,source_b
r11_000,Eliciting latent predictions from transformer activations,"Accurate early prediction of a transformer's final output can be obtained by directly applying a linear transformation that minimizes the difference between an intermediate layer's activation and the model's final-layer activation (""jump to conclusions"" short-cutting).",din2023jump,"Accurate early prediction of a transformer's final output instead requires training a dedicated loss function (the ""tuned lens"") that aligns the logit distribution produced from an intermediate activation with the final layer's logit distribution, rather than directly matching activations.",belrose2023eliciting
r11_001,LLM-driven chemical reaction optimization strategies,Large language models are most effective for optimizing chemical reactions when used as an in-context-learning surrogate model embedded within a Bayesian Optimization algorithm that guides the search over reaction/catalyst conditions.,Ramos2023-cs,"Large language models can instead autonomously conduct chemical research by framing reaction-condition selection as a strategic game aimed directly at maximizing reaction yield, rather than serving as a surrogate model inside a separate optimization algorithm.",Boiko2023-ot
r11_003,Explainable visualization for Wikipedia vandal detection,"Explaining CNN-based Wikipedia vandal detection is best achieved through interactive visualization that correlates model inputs and outputs with the underlying parameter space, using features such as edit frequency and revert counts.",Liu:2019,"Explaining collaborative vandal behavior on Wikipedia is instead best achieved through statistical analysis of vandal behavior patterns, presented via graphical displays of the aggregated statistics, rather than correlating model parameters with individual edits.",Subramanian:2019
r11_004,LLM annotator performance on non-English languages,"GPT-3 shows meaningful potential as a data annotator even on languages other than English, suggesting its effectiveness as an annotator extends beyond English-only settings.",ding2022gpt,"Open-source LLMs show a considerable decline in performance when applied to non-English languages (evaluated on French, Dutch, and English NLI tasks), indicating current open-source models do not generalize well as annotators outside English.",mohta2023large
r11_005,RL-based prompt optimization strategy,"Effective discrete prompts can be discovered via task-agnostic reinforcement learning, learning a general prompt-optimization policy rather than adapting the prompt to each individual query.",deng2022rlprompt,"Effective prompting instead requires test-time, query-dependent reinforcement learning that evaluates and adapts the prompt separately for each specific input, rather than relying on one fixed task-agnostic policy.",zhang2022tempera
r11_006,distributional acquisition of syntactic categories in children,"The child represents each target word as a context vector of frequently co-occurring words, then iteratively groups words into categories using a similarity score computed over these vectors.",redington1998distributional,The child does not need vector-based similarity computations; it is sufficient for the child to count how often words occur within particular frames and group together the words that appear in the most frequent frames.,mintz2003
r11_007,nature of language: symbol system vs. use,"Language, like cognition generally, can be defined as an abstract, formal symbol-manipulation system, in line with computational theories of mind.",pylyshyn1986computation,Language is not an abstract symbol-manipulation system; it is a system that has a function and acquires meaning only when it is actually used to do things in the world.,wittgenstein1953philosophische
r11_008,LLM self-correction without external feedback,"LLMs can iteratively improve their own outputs through self-refinement, using self-generated feedback to critique and revise their own responses without external input.",madaan2023selfrefine,"LLMs cannot reliably self-correct their own reasoning errors; without external feedback, self-correction attempts fail to fix, and can even worsen, their initial responses.",huang2023noselfcorrect
r11_009,mechanistic view of transformer feed-forward layers,"Transformer feed-forward layers function as key-value memories at the level of individual neurons: each neuron/key correlates with a textual pattern in the training data, and each value induces a distribution over the output vocabulary.",geva-etal-2021-transformer,"Based on causal tracing analysis of GPT-2, transformer MLP layers are better characterized as a single linear associative memory rather than a collection of per-neuron key-value pairs.",NEURIPS2022_6f1d43d5
r11_011,lexical overlap and cross-lingual transfer,"Lexical overlap between source and target languages is a highly important feature for predicting cross-lingual transfer success on syntactic tasks (POS tagging, NER, dependency parsing), but a much less important feature for the semantic task of NLI.",lin_choosing_2019,"Lexical overlap shows the opposite importance pattern across task types when predicting zero-shot cross-lingual transfer performance, contrary to the syntactic-vs-semantic pattern found elsewhere.",ahuja_multi_2022
r11_012,Context effects on lexical complexity,"Malmasi & Zampieri's MAZA system attributes its superior performance on complex word/lexical complexity prediction (SemEval-2016 Task 11) to the use of contextual features, indicating that surrounding context influences how complex a word is perceived to be.",malmasi-zampieri:2016:SemEval,"Kuru's AI-KU system (SemEval-2016 Task 11), using word embeddings and substring features with an SVM classifier, found that context was uninfluential on performance, indicating a word's complexity can be predicted without relying on contextual information.",kuru:2016:SemEval
r11_013,Video-text embedding similarity measure,"Le et al. (NII-HITACHI-UIT, TRECVID 2016) trained their video-text common-space embedding model by minimizing the L2 (Euclidean) distance between paired video and text representations.",Le2016NII-HITACHI-UIT2016,"Phan et al. (NII-Hitachi-UIT, TRECVID 2017) obtained better results by instead defining the similarity measure in the common embedding space as the dot product between representations, rather than minimizing L2 distance.",Phan2017NII-Hitachi-UIT2017
r11_014,Video representation learning modality scope,"Dwibedi et al.'s temporal cycle-consistency learning approach learns video representations using only the video domain, via self-supervised temporal alignment of video frames, without incorporating text.",Dwibedi2019TemporalLearning,"Ging et al.'s COOT (Cooperative Hierarchical Transformer) approach holds that effective video representation learning should align video and text in a cross-modal way, rather than modeling video alone.",Ging2020COOT:Learning
r11_015,Comprehensiveness of FEVER rationale highlights,"Carton et al. (2020) expect that the human-annotated highlights/rationales in the FEVER fact-verification dataset are non-comprehensive, i.e. they do not mark all evidence relevant to a verdict.",carton-etal-2020-evaluating,"DeYoung et al.'s ERASER benchmark (2020) characterizes/relies on FEVER's rationale annotations as comprehensive evidence spans when using them to evaluate rationalized NLP models, in contrast to Carton et al.'s characterization.",deyoung-etal-2020-eraser
r11_016,Discourse parsing for document representation,Bhatia et al. (2015) show that using an external RST discourse parser to derive a document's discourse structure improves document-level sentiment analysis.,bhatia2015better,"Ji & Smith (2017) point out limitations of relying on external discourse parsers for tasks like text categorization, arguing discourse structure should instead be modeled directly rather than depending on an off-the-shelf parser.",ji2017neural
