file,sentence,cited_keys,survey_arxiv_id,survey_title
01-triage.tex,"Some work also reports disagreement-based measures such as total discordance, defined as $1-\text{accuracy}$, to quantify mismatch with clinician-assigned triage levels~\cite{lu-etal-2024-triageagent}.",lu-etal-2024-triageagent,2608.23627,"From Triage to Discharge: A Survey of NLP Tasks, Methods, and Open Challenges in the Emergency Department"
04-report-gen.tex,"For example, \citet{min-etal-2022-rred} presents RRED, a supervised detector that identifies contradictions between the \textit{Findings} and \textit{Impression} sections, addressing limited error annotations by synthesising plausible errors and adding knowledge-enhanced pretraining.",min-etal-2022-rred,2608.23627,"From Triage to Discharge: A Survey of NLP Tasks, Methods, and Open Challenges in the Emergency Department"
main.tex,\textbf{Reconciling with the U.S.\ evidence.} Our negative result need not contradict the positive silicon-sampling findings for U.S.\ opinions~\cite{argyle}.,argyle,2608.28615,Distributional Validity and Calibration of a Korean Synthetic Persona Panel for Digital and AI Service Use: A Secondary-Data Validation Against the Korea Media Panel Survey
discussion_and_conclusion.tex,"In sparse feedback domains, agents can improve sample efficiency by assigning intrinsic value to interactions with high prediction errors or verifier disagreement ~\citep{schmidhuber1991possibility, zhao2026curious}.","schmidhuber1991possibility, zhao2026curious",2607.13104,Self-Improvements in Modern Agentic Systems: A Survey
006-challenge.tex,The practical difficulty is to reconcile potentially conflicting evidence and surface it in a unified evidence space that supports auditing and abstention under uncertainty~\citep{Wang2024DeepfakeReliability}.,Wang2024DeepfakeReliability,2607.10787,Detecting AI-Generated Video: A Vision-Language Dual-View Survey
acl_appendix.tex,"\rev{\citet{miao2023towards} explored both algorithmic innovations and system architectures for efficient LLM serving, \citet{yuan2024llm} analyzed LLM inference techniques through a Roofline-based framework, \citet{zhou2024survey} organized efficient LLM inference methods across data-, model-, and system-level optimizations, \citet{li2024llm} examined system-level enhancements for LLM inference serving, \citet{zhen2025taming} reviewed recent advances across different LLM serving scenarios, whil",miao2023towards;yuan2024llm;zhou2024survey;li2024llm;zhen2025taming;bai2024beyond;xu2024survey,2607.08057,Towards Efficient Large Language Model Serving: A Survey on System-Aware KV Cache Optimization
main.tex,"\citet{cmdc}, \citet{li2023detection}, \citet{shin2022detection} use the Hamilton Depression Rating Scale (HAMD) \cite{RENEMANE2021175} to annotate the dataset for Major Depressive Disorder (MDD) or suicidal ideation (SDI), while \citet{jiang2022mmda} uses both HAMD and Hamilton Anxiety Rating Scale (HAMA) \cite{matza2010identifying} for depression and anxiety labeling.",cmdc;li2023detection;shin2022detection;RENEMANE2021175;jiang2022mmda;matza2010identifying,2607.03540,Mental Health Disorder Detection Beyond Social Media: A Systematic Review of Available Datasets
main.tex,"In this survey, ICD-9 is used by \citet{hcet2021}, while \citet{xu2025identifying} and \citet{wawer2022single} utilize ICD-10 for data annotation, and \citet{ive2024data} uses both editions to label anxiety.",hcet2021;xu2025identifying;wawer2022single;ive2024data,2607.03540,Mental Health Disorder Detection Beyond Social Media: A Systematic Review of Available Datasets
elsarticle-template-num-names.tex,"In contrast to the above methods that explicitly inject visual cues, Look-Back~\cite{yang2025look} enables models to autonomously decide when and how to refocus on visual inputs by emitting special ⟨back⟩ tokens, allowing them to re-evaluate and correct their reasoning against the image.",yang2025look,2606.26196,From Structure to Synergy: A Survey of Vision-Language Perception Paradigm Evolution in Multimodal Large Language Models
4_env_domain.tex,"Conflicts~\cite{Conflicts} focuses explicitly on contradictions across sources, testing whether models can detect conflicts and distinguish their types.",Conflicts,2606.12191,"Agentic Environment Engineering for Large Language Models: A Survey of Environment Modeling, Synthesis, Evaluation, and Application"
main3_ieee_preprint.tex,\textsc{WizardMath}~\cite{luo2023wizardmath} applies iterative difficulty amplification; \textsc{MetaMath}~\cite{yu2024metamath} uses backward question rewriting; \textsc{DeepTheorem}~\cite{zhang2025deeptheorem} filters for difficulty $\geq 5$ and constructs entailing/contradictory theorem variants to ensure non-trivial binary rewards.,luo2023wizardmath;yu2024metamath;zhang2025deeptheorem,2606.08728,"Artificial Intelligence for Mathematical Reasoning: An Integrated Survey of Language Models, Neuro-symbolic Systems, and Verified Discovery"
03_methodology.tex,"These included 5‑point Likert scales \cite{joshi2015likert} (1 = \enquote{Strongly disagree}, 5 = \enquote{Strongly agree}) with an additional \enquote{Don't know/Not applicable} option, single‑choice questions for categorical attributes such as company size or self‑assessed knowledge level, and multiple‑choice questions with an upper limit (e.g., \enquote{Select up to 3 options}) for practices, barriers, and priorities.",joshi2015likert,2607.21608,From Obligation to Specification: A Survey on Validating EU AI Act Requirements in RE
main.tex,"As it stands, a true expression of design justice was not found in any of the reviewed papers of this corpus, however \citet{wang-etal-2025-generating-pedagogically} embodies some aspects of it.",wang-etal-2025-generating-pedagogically,2606.13691,Incentives Of EdTech: A Systematic Review Of EduNLP Research
acl_latex_new.tex,"This mechanism enables systematic error correction and sustained performance improvement across episodes, establishing introspective reflection as a central mechanism rather than a peripheral heuristic.Building on this paradigm,~\citet{Liu2023ThinkinMemoryRA} introduces a post-reasoning verification stage to retain only validated memories, while~\citet{Zhang2025ConstructingCS} detects contradictory or erroneous segments through introspective consistency checks, thereby limiting error accumulatio",Liu2023ThinkinMemoryRA;Zhang2025ConstructingCS,2605.06716,From Storage to Experience: A Survey on the Evolution of LLM Agent Memory Mechanisms
sec9_open_problems.tex,"These issues are amplified in role-based settings, where broken memory or contradictions can lead to hallucinations and character violations \cite{tang2024rolebreak}.",tang2024rolebreak,2604.24977,A Survey on LLM-based Conversational User Simulation
main_arxiv.tex,% Recent follow-up work~\citep{si2025seconrag} (Tier-2) extends this % to semantic- and conflict-aware filtering by jointly considering % content similarity and inter-passage contradictions.,si2025seconrag,2604.16548,"A Survey on Long-Term Memory Security in LLM Agents: Attacks, Defenses, and Governance Across the Memory Lifecycle"
