file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
18-598.tex,"%old In contrast to the gradient-free optimization methods above, \citet{liu_darts} propose a continuous relaxation of the search space to enable \emph{gradient-based optimization}: %new rephrased based on reviewer's comment While the methods above employ a discrete search space, \citet{liu_darts} propose a \emph{continuous relaxation} to enable direct gradient-based optimization: instead of fixing a single operation $o_i$ (e.g., convolution or pooling) to be executed at a specific layer, the au",liu_darts;liu_darts,1808.05377,Neural Architecture Search: A Survey,s0002,single_cite_key
18-598.tex,"An advantage of these approaches is that they allow search spaces without an inherent upper bound on the architecture's size \cite{elsken_simple_2017}; on the other hand, strict network morphisms can only make architectures larger and may thus lead to overly complex architectures.",elsken_simple_2017,1808.05377,Neural Architecture Search: A Survey,s0003,single_cite_key
main.tex,"\cite{seo2019learning} introduced the variance-weighted confidence-integrated loss function that is a convex combination of two contradictive loss functions, \begin{align} \begin{split} L^{\text{VWCI}}(\theta)=-\sum_{i=1}^N(1-\alpha_i)L_{\text{GT}}^{(i)}(\theta) + \alpha_i L_{\text{U}}^{(i)}(\theta)~, \end{split} \end{align} where $L_\text{GT}^{(i)}$ is the mean cross-entropy computed for the training sample $x_i$ with given ground-truth $y_i$.",seo2019learning,2107.03342,A Survey of Uncertainty in Deep Neural Networks,s0005,single_cite_key
003_Deterministic.tex,"But in contrast to \cite{second.opinion.medical}, the representation space of the training data is considered and the density around a given test sample is evaluated.",second.opinion.medical,2107.03342,A Survey of Uncertainty in Deep Neural Networks,s0008,single_cite_key
004_Ensemble.tex,"In contrast to this, batch-ensembles \cite{batch.ensembles} connect the member networks with each other at every layer.",batch.ensembles,2107.03342,A Survey of Uncertainty in Deep Neural Networks,s0010,single_cite_key
005character.tex,"\item \textbf{Demonstrations}, on the other hand, are representative behaviors of the characters, which reflect their linguistic, cognitive and behavioral patterns ~\citep{ li2023chatharuhi,zhou2023characterglm,shao2023character,wang2023rolellm,zhao2023narrativeplay,chen2023large,tu2024charactereval,tang2024enhancing,lu2024large, xu2024mindecho}."," li2023chatharuhi,zhou2023characterglm,shao2023character,wang2023rolellm,zhao2023narrativeplay,chen2023large,tu2024charactereval,tang2024enhancing,lu2024large, xu2024mindecho",2404.18231,From Persona to Personalization: A Survey on Role-Playing Language Agents,s0012,likely_latex_artifact
005character.tex,"On the other hand, evaluator LLMs can be used to classify RPLA responses, and the results are then compared with ground truth labels~\citep{wang2024incharacter}.",wang2024incharacter,2404.18231,From Persona to Personalization: A Survey on Role-Playing Language Agents,s0014,single_cite_key
main.tex,"Latent-Shift~\cite{latentshift}, on the other hand, focuses on lightweight temporal modeling.",latentshift,2310.10647,A Survey on Video Diffusion Models,s0018,single_cite_key
main.tex,"\subsubsection{Video Enhancement and Restoration} CaDM~\cite{CaDM} introduces a novel Neural-enhanced Video Streaming paradigm aimed at substantially diminishing streaming delivery bitrates, all the while maintaining a notably heightened restoration capability in contrast to prevailing methodologies.",CaDM,2310.10647,A Survey on Video Diffusion Models,s0020,single_cite_key
y1-extensions.tex,"On the other hand, the theoretically expected vacuum energy density is tens of orders of magnitude larger than the observed value as has been known even prior to the discovery of the accelerating universe \cite{Weinberg:1988cp,Martin:2012bt}.","Weinberg:1988cp,Martin:2012bt",1810.02499,Dark Energy Survey Year 1 Results: Constraints on Extended Cosmological Models from Galaxy Clustering and Weak Lensing,s0021,all_keys_unresolved
3_ood.tex,"In contrast to the parametric approach, recent work~\cite{sun2022knn} shows strong promise of non-parametric nearest-neighbor distance for OOD detection.",sun2022knn,2110.11334,Generalized Out-of-Distribution Detection: A Survey,s0022,single_cite_key
rule_mining.tex,"In contrast to ALEPH, AMIE can handle the open-world assumption of knowledge graphs and has shown to be up to three orders of magnitude faster on large knowledge graphs~\citep{galarraga2015amie}.",galarraga2015amie,1503.00759,A Review of Relational Machine Learning for Knowledge Graphs,s0023,single_cite_key
furture.tex,"Due to the prevalence of biases in recommender systems and society’s growing focus on fairness, ensuring fairness whilst maintaining comparable performance in GNN-based recommender systems deserves further studying.} \subsection{Explainability} \blue{Explainability is beneficial for recommender systems: on the one hand, explainable recommendations to users allow them to know why the items are recommended and could be persuasive; on the other hand, the practitioners can know why the model works, ",zhang2019deep,2011.02260,Graph Neural Networks in Recommender Systems: A Survey,s0024,single_cite_key
03c_evaluation.tex,"WikiContradict\cite{hou2024wikicontradict} assesses a particular case where two reliable sources present contradictory information but there is a need for benchmarks that could e.g., determine whether content produced via multi-document summarization gives appropriate weight to different claims based on the level of their support across the documents.",hou2024wikicontradict,2410.08918,Wikimedia data for AI: a review of Wikimedia datasets for NLP tasks and AI-assisted editing,s0025,single_cite_key
benchmarks.tex,"& WikiContradict~\cite{hou2024wikicontradict} is the closest analog, which evaluates how well models handle the summarization of contradictory information.",hou2024wikicontradict,2410.08918,Wikimedia data for AI: a review of Wikimedia datasets for NLP tasks and AI-assisted editing,s0026,single_cite_key
sec7_discuss.tex,"Conversely, soft prompts based on image-text matching models, such as CLIP~\cite{radford2021learning}, have received extensive investigation.",radford2021learning,2307.12980,A Systematic Survey of Prompt Engineering on Vision-Language Foundation Models,s0028,single_cite_key
main.tex,"The work in \cite{Huang2016} targeted the Residual Network based model with a spatially varying computation time, called stochastic depth, which enabled the seemingly contradictory setup to train short networks and used deep networks at test time.",Huang2016,1710.09282,A Survey of Model Compression and Acceleration for Deep Neural Networks,s0029,single_cite_key
sec-training.tex,"In contrast to autoencoder enhanced pretraining, Ma et al.~\cite{ma2022pre} further propose to pretrain an encoder-only network with a new contrastive span prediction task, which aims to to fully reduce the bypass effect of the decoder.",ma2022pre,2211.14876,Dense Text Retrieval based on Pretrained Language Models: A Survey,s0030,single_cite_key
bare_jrnl_compsoc.tex,"On the other hand, representation learning obtains data representations that make it easier to extract useful information when building classifiers or other predictors \cite{DBLP:journals/pami/BengioCV13}.",DBLP:journals/pami/BengioCV13,1709.07604,"A Comprehensive Survey of Graph Embedding: Problems, Techniques and Applications",s0031,single_cite_key
bare_jrnl_compsoc.tex,"However, \cite{DBLP:conf/nips/HofmannB94} is based on the Euclidean distance and it does not consider the neighbouring nodes when calculating $S_{ij}$.",DBLP:conf/nips/HofmannB94,1709.07604,"A Comprehensive Survey of Graph Embedding: Problems, Techniques and Applications",s0032,single_cite_key
sec2.tex,"On the other hand, tuning the inference data can help obtain the desirable outputs, such as tuning prompts for language models~\cite{liu2023pre}.",liu2023pre,2303.10158,Data-centric Artificial Intelligence: A Survey,s0034,single_cite_key
vae_tutorial.tex,"%The first is the Generative Adversarial Network~\cite{goodfellow}, which on the one hand can generate surprisingly realistic imagery, but on the other hand has a reputation for being difficult to train.",goodfellow,1606.05908,Tutorial on Variational Autoencoders,s0035,single_cite_key
main.tex,"However \cite{Hoogeboom2019} have provided a more general solution for modelling $d\times d$ convolutions, either by stacking together masked autoregressive convolutions (referred to as Emerging Convolutions) or by exploiting the Fourier domain representation of convolution to efficiently compute inverses and determinants (referred to as Periodic Convolutions).",Hoogeboom2019,1908.09257,Normalizing Flows: An Introduction and Review of Current Methods,s0037,single_cite_key
main.tex,"However, \cite{Durkan2019Neural}, noted numerical difficulties when the sigmoid saturates for values far from zero.",Durkan2019Neural,1908.09257,Normalizing Flows: An Introduction and Review of Current Methods,s0038,single_cite_key
main.tex,"% Contrary to conventional or flat RL, HRL refers to the decomposition of complex agent behavior using temporal abstraction, such as the options framework \cite{barto2003recent}.",barto2003recent,2002.00444,Deep Reinforcement Learning for Autonomous Driving: A Survey,s0040,single_cite_key
main.tex,"In contrast to RNNs, transformers can model temporal correlations within sequential data by utilising self-attention mechanisms~\cite{vaswani2017attention}.",vaswani2017attention,2308.12792,Sparks of Large Audio Models: A Survey and Outlook,s0041,single_cite_key
main.tex,"Conversely, the decoder-only LLM approach employs the GPT-2 model~\cite{radford2019language} as the decoder-based LLM.",radford2019language,2308.12792,Sparks of Large Audio Models: A Survey and Outlook,s0042,single_cite_key
File1.tex,DBAL used batch acquisition to select the top $n$ samples with the highest Bayesian AL by disagreement (BALD)~\cite{houlsby2011bayesian} score.,houlsby2011bayesian,2011.06225,"A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges",s0043,single_cite_key
main.tex,"RET-LLM~\cite{modarressi2023ret}, on the other hand, employs a fuzzy search to retrieve triplet-structured memories, where information is stored as relationships between two entities connected by a predefined relation.",modarressi2023ret,2504.15965,From Human Memory to AI Memory: A Survey on Memory Mechanisms in the Era of LLMs,s0044,single_cite_key
RQ2.tex,"On the other hand, WizardCoder proposed by Luo et al.~\cite{N97} was compared to GPT-3.5 and GPT-4 on HumanEval (pass@1(\%)) and MBPP.",N97,2311.10372,"A Survey of Large Language Models for Code: Evolution, Benchmarking, and Future Trends",s0046,single_cite_key
full_paper_TPAMI_20210617.tex,The method is essentially different from \cite{hinton2015distilling} focusing on inferior model instead of inferior dataset.,hinton2015distilling,2004.05937,Knowledge Distillation and Student-Teacher Learning for Visual Intelligence: A Review and New Outlooks,s0049,single_cite_key
full_paper_TPAMI_20210617.tex,"Conversely, \cite{you2017learning, zhang2018deep, papernot2016semi,sau2016deep, arora2019knowledge,tarvainen2017mean, furlanello2018born, lan2018knowledge, song2018collaborative, radosavovic2018data, tan2019multilingual, Vongkulbhisal_2019_CVPR,wu2019distilled, dvornik2019diversity, yang2019model, park2019feed, lee2019stochasticity, chen2019online, mirzadeh2019improved} propose to add more teachers or other auxiliaries, such as teaching assistant and small students, to improve the robustness of ","you2017learning, zhang2018deep, papernot2016semi,sau2016deep, arora2019knowledge,tarvainen2017mean, furlanello2018born, lan2018knowledge, song2018collaborative, radosavovic2018data, tan2019multilingual, Vongkulbhisal_2019_CVPR,wu2019distilled, dvornik2019diversity, yang2019model, park2019feed, lee2019stochasticity, chen2019online, mirzadeh2019improved",2004.05937,Knowledge Distillation and Student-Teacher Learning for Visual Intelligence: A Review and New Outlooks,s0051,likely_latex_artifact
full_paper_TPAMI_20210617.tex,"On the other hand, FT \cite{kim2018paraphrasing} proposes to extract good \textit{factors} through which transportable features are made.",kim2018paraphrasing,2004.05937,Knowledge Distillation and Student-Teacher Learning for Visual Intelligence: A Review and New Outlooks,s0052,single_cite_key
