file,sentence,cited_keys,survey_arxiv_id,survey_title
18-598.tex,"For example, \citet{DBLP:journals/corr/ZophVSL17} build a sequential model from cells, in which each cell receives the outputs of the two preceding cells as input, while \citet{cai_path-level_2018} employ the high-level structure of well-known manually designed architectures, such as DenseNet \citep{huang_densely_2016}, and use their cells within these models.",DBLP:journals/corr/ZophVSL17;cai_path-level_2018;huang_densely_2016,1808.05377,Neural Architecture Search: A Survey
18-598.tex,"\citet{DBLP:journals/corr/RealMSSSLK17} remove the worst individual from a population, while \citet{real_regularized_2018} found it beneficial to remove the oldest individual (which decreases greediness), and \citet{liu_hierarchical_2017} do not remove individuals at all.",DBLP:journals/corr/RealMSSSLK17;real_regularized_2018;liu_hierarchical_2017,1808.05377,Neural Architecture Search: A Survey
18-598.tex,"%old In contrast to the gradient-free optimization methods above, \citet{liu_darts} propose a continuous relaxation of the search space to enable \emph{gradient-based optimization}: %new rephrased based on reviewer's comment While the methods above employ a discrete search space, \citet{liu_darts} propose a \emph{continuous relaxation} to enable direct gradient-based optimization: instead of fixing a single operation $o_i$ (e.g., convolution or pooling) to be executed at a specific layer, the au",liu_darts;liu_darts,1808.05377,Neural Architecture Search: A Survey
18-598.tex,"An advantage of these approaches is that they allow search spaces without an inherent upper bound on the architecture's size \cite{elsken_simple_2017}; on the other hand, strict network morphisms can only make architectures larger and may thus lead to overly complex architectures.",elsken_simple_2017,1808.05377,Neural Architecture Search: A Survey
main.tex,"\\ In contrast to this, other approaches \cite{pearce2018highquality,su2018tight} directly predict a so called prediction interval (PI) \begin{align} PI(x) = \left[B_l, B_u\right] \end{align} in which the prediction is assumed to lay.","pearce2018highquality,su2018tight",2107.03342,A Survey of Uncertainty in Deep Neural Networks
main.tex,"\cite{seo2019learning} introduced the variance-weighted confidence-integrated loss function that is a convex combination of two contradictive loss functions, \begin{align} \begin{split} L^{\text{VWCI}}(\theta)=-\sum_{i=1}^N(1-\alpha_i)L_{\text{GT}}^{(i)}(\theta) + \alpha_i L_{\text{U}}^{(i)}(\theta)~, \end{split} \end{align} where $L_\text{GT}^{(i)}$ is the mean cross-entropy computed for the training sample $x_i$ with given ground-truth $y_i$.",seo2019learning,2107.03342,A Survey of Uncertainty in Deep Neural Networks
main.tex,"In contrast to this, the \textit{Static Calibration Error} (SCE) \cite{nixon2019measuring, ghandeharioun2019characterizing} considers the predictions of all classes (all-labels).","nixon2019measuring, ghandeharioun2019characterizing",2107.03342,A Survey of Uncertainty in Deep Neural Networks
main.tex,"In contrast to the ECE and SCE, which group predictions into $M$ equally-spaced bins (what in general leads to different numbers of evaluation samples per bin), the adaptive calibration error \cite{nixon2019measuring,ghandeharioun2019characterizing} adaptively groups predictions into $R$ bins with different width but equal number of predictions.","nixon2019measuring,ghandeharioun2019characterizing",2107.03342,A Survey of Uncertainty in Deep Neural Networks
003_Deterministic.tex,"But in contrast to \cite{second.opinion.medical}, the representation space of the training data is considered and the density around a given test sample is evaluated.",second.opinion.medical,2107.03342,A Survey of Uncertainty in Deep Neural Networks
004_Ensemble.tex,"In contrast to this, \cite{rahaman2020uncertainty,wen2020combining} stated with respect to uncertainty quantification that image augmentation can harm the calibration of an ensemble and post-processing calibration methods have to be slightly adapted when using ensemble methods.","rahaman2020uncertainty,wen2020combining",2107.03342,A Survey of Uncertainty in Deep Neural Networks
004_Ensemble.tex,"In contrast to this, batch-ensembles \cite{batch.ensembles} connect the member networks with each other at every layer.",batch.ensembles,2107.03342,A Survey of Uncertainty in Deep Neural Networks
001_Intro.tex,"In contrast to this, several different approaches which model the model uncertainty and seek to separate it from the data uncertainty in order to receive an accurate representation of the data uncertainty were introduced \cite{kendall2017uncertainties, prior.network, deep.ensembles}.","kendall2017uncertainties, prior.network, deep.ensembles",2107.03342,A Survey of Uncertainty in Deep Neural Networks
