sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0003,skipped,"not_genuine_contrast: RAMKG, Unlimiformer, RPRR, and RIGHT are cited together as four joint examples illustrating abstractive summarization techniques (keyphrase generation, long-input handling, full-length generation, hashtag recommendation), not contrasted with each other. The actual contrast (""on the other hand"") is abstractive vs extractive summarization -- a general distinction, not a disagreement among these four cited works, which all belong to the same (abstractive) side.",,,,,,skipped_by_annotator
s0004,skipped,"not_genuine_contrast: huysmans2011empirical (comprehensibility of decision tables/trees/rules) and freitas2014comprehensible (advantages/disadvantages of predictive models) are listed as two parallel examples of ""other works"" studying different particular aspects of interpretability, not as two works making opposing claims about the same question.",,,,,,skipped_by_annotator
s0006,skipped,"not_genuine_contrast: baltrusaitis2018multimodal, zhang2020multimodal, and rahate2022multimodal are cited jointly as prior general-ML-model surveys, contrasted against the CURRENT survey's own Transformer-specific focus (not itself a cited_ref) -- the three cited works agree with each other (all general ML surveys), there is no disagreement among them.",,,,,,skipped_by_annotator
s0008,skipped,"not_genuine_contrast: jaderberg2019poprl, houthooft2018epg, and veeriah2019discovery are cited jointly as three examples of meta-RL methods illustrating one side of a general meta-RL-vs-meta-SL distinction; the meta-SL side of that contrast is not itself represented by a citation here, and the three cited works do not disagree with each other -- they jointly support the same claim about meta-RL.",,,,,,skipped_by_annotator
s0013,skipped,"not_genuine_contrast: OWM (zeng2019continual) and AOP (guo2022adaptive) are cited together as two works that AGREE on the same approach (modifying parameter updates to the orthogonal direction of the previous input space), jointly contrasted against a different, uncited approach (""saving old training samples"" / rehearsal methods) -- there is no disagreement between OWM and AOP themselves.",,,,,,skipped_by_annotator
s0016,skipped,"not_genuine_contrast: galley2015dbleu and Lowe2017AutoTuring are cited jointly in support of the same claim (BLEU is more competitive at corpus/system level than sentence level), not contrasted with each other. Both title/authors/year fields are empty and context gives only bare bibliographic citations, but the joint-support pattern is clear from the sentence structure regardless.",,,,,,skipped_by_annotator
s0022,skipped,"insufficient_context: the sentence is severely truncated -- ""Different from \cite{bh03,xlck07}, Jacob et al."" -- cutting off before any verb or actual claim about what Jacob et al. did differently. No confident hypothesis can be formulated from this fragment.",,,,,,skipped_by_annotator
s0024,skipped,"not_genuine_contrast: hl11/zh12 (multi-task multi-view classification) and zzl15b/zzll16 (multi-task multi-view clustering) are contrasted only by which TASK they study (classification vs. clustering) -- a topical/taxonomy distinction the survey draws between different problem settings, not a disagreement about a shared question.",,,,,,skipped_by_annotator
s0026,skipped,"not_genuine_contrast: krueger2020hidden, thulasidasan2021effective, and hendrycks2021many are cited jointly as three examples of the ""distribution shift"" research pillar, contrasted against a different, uncited pillar (""learning from feedback"") -- the three cited works do not disagree with each other.",,,,,,skipped_by_annotator
s0027,skipped,"not_genuine_contrast: shevlane2023model and arcevalscollab are cited jointly in support of the same general claim about AI-system risks (deception, manipulation, power-seeking). ""Contradict"" here describes an AI system's goals contradicting its designers' intent (the subject matter), not a disagreement between the two cited works themselves -- the classic false-sense pattern already documented for this project (§8: surveys ABOUT contradiction/misalignment, not surveys that themselves disagree).",,,,,,skipped_by_annotator
s0028,skipped,"not_genuine_contrast: yu2018building, winfield2019machine, and tolmeijer2020implementations are cited jointly as three examples of ""machine ethics"" work, contrasted against the broader, uncited category of general alignment research -- the three cited works agree with each other (all machine-ethics examples), no disagreement among them.",,,,,,skipped_by_annotator
s0034,skipped,"not_genuine_contrast: casper2023red (trojan-detection benchmark), lawrencec_causal (circuit-testing benchmark), and lage2019evaluation/deyoung2020eraser/krishna2022disagreement (explanation-quality benchmarks) are listed as three parallel examples of DIFFERENT benchmark categories (tools, circuits, explanations respectively) -- a taxonomy of benchmark types, not a disagreement among the cited works.",,,,,,skipped_by_annotator
s0035,skipped,"not_genuine_contrast: neely2021order and krishna2022disagreement are cited jointly in support of the same claim -- that different explanation methods can contradict each other. This is the established §8 false-sense pattern: ""contradict"" names the phenomenon these works STUDY (explanation methods disagreeing), not a disagreement between neely2021order and krishna2022disagreement themselves, which agree on this point.",,,,,,skipped_by_annotator
s0036,skipped,"not_genuine_contrast: berreby2017declarative and murtarelli2021conversation are cited jointly as two examples of the SAME approach (segregating ethical decision-making from the reward function), not contrasted with each other. The real contrast target (an earlier-discussed alternative approach) is not among the resolved cited_refs for this truncated snippet.",,,,,,skipped_by_annotator
s0037,skipped,"not_genuine_contrast: urbina2022dual and sandbrink2023artificial are cited jointly in support of the same overall claim (AI systems pose dual-use chemical/biological weapons risks). ""Contradictory"" here describes AI capabilities contradicting their original design intent (the subject matter), not a disagreement between the two cited works, which agree on the risk they jointly document.",,,,,,skipped_by_annotator
s0040,skipped,"not_genuine_contrast: same underlying joint-citation pattern as s0028 (near-duplicate sentence, different lead-in text) -- yu2018building, winfield2019machine, and tolmeijer2020implementations are cited jointly as examples of machine-ethics work, contrasted against the broader uncited category of general alignment research, not against each other.",,,,,,skipped_by_annotator
