sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0000,pair_created,,Role of position embeddings in embedding-space anisotropy,"In multilingual BERT (mBERT), which is trained with the same position-embedding-based procedure as monolingual models, the per-language embedding spaces are massively anisotropic but show no single dominant dimension contributing to that anisotropy.","Rajaee and Pilehvar, 2022","In monolingual masked language models, position embeddings are the driving cause of positional artefacts that produce dominant/outlier dimensions in the embedding space.","Mao, 2021"
s0001,skipped,"not_genuine_contrast: Scott (1955)'s pi and Cohen (1960)'s kappa are cited together as two of three well-known agreement coefficients that all use the SAME underlying formula (Ao-Ae)/(1-Ae) -- the sentence groups them in agreement, contrasting them jointly against Krippendorff's alpha (a different, uncited-here work), not against each other.",,,,,
s0002,skipped,"not_genuine_contrast: Elsner and Charniak (2011) apply prior coherence models (Lapata et al. 2005; Soricut and Marcu 2006) to a new task and report their OWN mixed results (helps with one subtask, not another) -- this is one study's partial-success outcome applying two other works' methods, not a disagreement between the cited works' own claims.",,,,,
s0003,skipped,"not_genuine_contrast: Grice (1975) on conversational maxims and Adler et al. (2011) on Wikipedia vandalism detection are cited as two unrelated illustrative examples in a list (confusion from violating maxims; vandalism as one instance), not contrasted with each other.",,,,,
s0005,skipped,"not_genuine_contrast: Itri and Patel (2018) and Yoon et al. (2024) are cited together in joint support of the same claim about anchoring bias as a source of diagnostic error in radiology, not contrasted with each other.",,,,,
s0006,skipped,"not_genuine_contrast: Maynez et al. (2020), Dong et al. (2022), and Li et al. (2022) are cited together in joint support of the same definitional claim about faithfulness in summarization, not contrasted with each other.",,,,,
s0007,skipped,"not_genuine_contrast: Zhao et al. (2020), Cao and Wang (2021), Huang et al. (2021), and Ji et al. (2023) are cited together in joint support of the same intrinsic/extrinsic hallucination taxonomy, not contrasted with each other.",,,,,
s0008,skipped,"not_genuine_contrast: Vashishtha et al. (2023), Tu et al. (2023), and Joshi et al. (2024) (the citations that actually resolved to reference entries) are each cited for a DIFFERENT limitation of LLM-based causal inference (cycles in causal graphs; domain-specific performance; general fallacy-proneness) -- a list of separate limitations, not a pairwise contradiction between any two of them.",,,,,
s0011,skipped,"not_genuine_contrast: Basile et al. (2021) and Cabitza et al. (2023) are cited together in joint support of the same perspectivist recommendation (preserve individual annotator judgments rather than aggregating them), not contrasted with each other.",,,,,
s0014,skipped,"not_genuine_contrast: Milewski et al. (2022), Alper et al. (2023), and Wang et al. (2024b) are cited together as agreeing sources for the same finding (text encoders preserve compositional structure better than vision encoders) -- the stated 'contradicts intuition' is against general prior expectation, not a disagreement among the cited works themselves.",,,,,
s0015,skipped,"not_genuine_contrast: Sproat (2010) and Sproat (2014) are both by the same author and represent his own consistent, evolving critical position (skepticism of statistical approaches to the Indus Valley script) -- the works actually being contradicted ('these works'/'those earlier works') are separate prior studies (e.g. Rao et al., Lee et al.) not present among the resolved cited_refs for this sentence.",,,,,
s0016,skipped,"not_genuine_contrast: Liu et al. (2020a), Jiang et al. (2022), and Zhang et al. (2022) are cited together as agreeing examples of the same 'segmentation/object-detection framing' approach; the actual contrast in the sentence is against a generic prior sequence-to-sequence framing that is not one of the resolved cited_refs.",,,,,
s0017,skipped,"not_genuine_contrast: Huang et al. (2023)/Shi et al. (2023) (paraphrase generation) and Ghazarian et al. (2022) (contradiction generation via negation insertion) are cited as two different AMR-based text-generation APPLICATIONS/use-cases, not as two works whose hypotheses disagree -- 'contradictions' here names the output type Ghazarian's method produces, not a disagreement between researchers.",,,,,
s0018,skipped,"not_genuine_contrast: Huang and Lowe (2007), Morante et al. (2008), and Morante and Daelemans (2009) are cited together as examples of the SAME 'other research area' (biomedical negation-scope modeling) that the sentence contrasts against sentiment analysis in general -- the three cited works agree with each other; none of them is the sentiment-analysis side of the comparison.",,,,,
