file,sentence,cited_keys,survey_arxiv_id,survey_title,sentence_id,drop_reason
2_bibliography_research.tex,"\begin{examps} \item $X$ wrote $Y$.\label{pattern1} \item $Y$ was written by $X$.\label{pattern2} \item $X$ is the writer of $Y$.\label{pattern3} \end{examps} Textual entailment methods, on the other hand, recognize, generate, or extract pairs $\left<T, H\right>$ of natural language expressions, such that a human who reads (and trusts) $T$ would infer that $H$ is most likely also true \cite{Dagan2006}.",Dagan2006,0912.3747,A Survey of Paraphrasing and Textual Entailment Methods,s0000,single_cite_key
robots.tex,"RHINO, on the other hand \cite{Rhino}, could respond to tour-start commands, but then, again, just offered a pre-programmed tour with fixed programmer-defined verbal descriptions.",Rhino,1401.4994,A Review of Verbal and Non-Verbal Human-Robot Interactive Communication,s0001,single_cite_key
robots.tex,"On the other hand, consider a dialogue such as (from the robot BIRON at Bielefeld, dialogue in \cite{wrede2006analyses}), which is an example of a dialogue with limited mixed initiative: R: ``Hello Human!'' H: ``Hello!",wrede2006analyses,1401.4994,A Review of Verbal and Non-Verbal Human-Robot Interactive Communication,s0002,single_cite_key
methods.tex,"On the other hand, more recently the agency of speakers is playing a more central role as well in variationist sociolinguistics \cite{eckert2012three}.",eckert2012three,1508.07544,Computational Sociolinguistics: A Survey,s0005,single_cite_key
main.tex,"On the other hand, \citeN{15} present a balanced dataset of 15k tweets.",15,1602.03426,Automatic Sarcasm Detection: A Survey,s0006,single_cite_key
article_main.tex,"On the other hand, a considerable amount of literature has been published on the techniques used to identify spam and spammers as well as different type of analysis on this topic \cite{Heydari2015, Crawford2015}.","Heydari2015, Crawford2015",1703.03609,NetSpam: a Network-based Spam Detection Framework for Reviews in Online Social Media,s0007,all_keys_unresolved
evaluation.tex,"On the other hand, in the evaluation of {\sc bt-nurse}, a successor to {\sc bt-45} which summarised patient data collected over a twelve-hour shift \cite{Hunter2012}, the system was evaluated on-ward using live patient data, but ethical considerations precluded a task-based evaluation.",Hunter2012,1703.09902,"Survey of the State of the Art in Natural Language Generation: Core tasks, applications and evaluation",s0008,single_cite_key
relatedwork.tex,On the other hand in \cite{Galvis} authors devised the same topic modeling using LDA to identify requirements that can be used by engineers to revise the app for subsequent releases.,Galvis,1708.04968,Fault in your stars: An Analysis of Android App Reviews,s0010,single_cite_key
review-comp-opin.tex,"On the other hand, Liu et al.~\cite{Liu5} studied analysing and comparing competing products based on opinions rather than on comparative sentences as a whole.",Liu5,1712.08941,Comparative Opinion Mining: A Review,s0011,single_cite_key
review-comp-opin.tex,"On the other hand, Ganapathibhotla \& Jindal~\cite{Ganapathibhotla8} worked on opinion in comparative sentences in which they made use of opinionated comparative words, context and application domain in detecting opinion in comparative sentences.",Ganapathibhotla8,1712.08941,Comparative Opinion Mining: A Review,s0012,single_cite_key
