sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0006,skipped,not_genuine_contrast,,,,,
s0007,skipped,not_genuine_contrast,,,,,
s0008,skipped,not_genuine_contrast,,,,,
s0009,skipped,not_genuine_contrast,,,,,
s0011,skipped,not_genuine_contrast,,,,,
s0016,skipped,not_genuine_contrast,,,,,
s0017,skipped,not_genuine_contrast,,,,,
s0018,skipped,not_genuine_contrast,,,,,
s0020,skipped,not_genuine_contrast,,,,,
s0023,skipped,not_genuine_contrast,,,,,
s0026,skipped,same_finding_different_wording,,,,,
s0030,skipped,not_genuine_contrast,,,,,
s0032,skipped,insufficient_context,,,,,
s0033,skipped,not_genuine_contrast,,,,,
s0034,skipped,not_genuine_contrast,,,,,
s0036,skipped,not_genuine_contrast,,,,,
s0039,skipped,not_genuine_contrast,,,,,
s0045,skipped,not_genuine_contrast,,,,,
s0046,skipped,not_genuine_contrast,,,,,
s0049,skipped,insufficient_context,,,,,
s0051,skipped,insufficient_context,,,,,
s0052,skipped,not_genuine_contrast,,,,,
s0055,skipped,not_genuine_contrast,,,,,
s0057,skipped,not_genuine_contrast,,,,,
s0058,skipped,not_genuine_contrast,,,,,
s0063,skipped,not_genuine_contrast,,,,,
s0067,skipped,not_genuine_contrast,,,,,
s0069,skipped,not_genuine_contrast,,,,,
s0072,skipped,insufficient_context,,,,,
s0073,skipped,not_genuine_contrast,,,,,
s0078,skipped,not_genuine_contrast,,,,,
s0079,skipped,not_genuine_contrast,,,,,
s0081,skipped,not_genuine_contrast,,,,,
s0083,skipped,off_domain_not_nlp,,,,,
s0084,skipped,not_genuine_contrast,,,,,
s0085,skipped,not_genuine_contrast,,,,,
s0088,skipped,off_domain_not_nlp,,,,,
s0090,skipped,off_domain_not_nlp,,,,,
s0094,skipped,not_genuine_contrast,,,,,
s0101,skipped,off_domain_not_nlp,,,,,
s0103,skipped,off_domain_not_nlp,,,,,
s0106,skipped,insufficient_context,,,,,
s0107,skipped,insufficient_context,,,,,
s0108,skipped,not_genuine_contrast,,,,,
s0125,skipped,not_genuine_contrast,,,,,
s0126,skipped,not_genuine_contrast,,,,,
s0128,skipped,not_genuine_contrast,,,,,
s0132,skipped,not_genuine_contrast,,,,,
s0133,skipped,off_domain_not_nlp,,,,,
s0134,skipped,off_domain_not_nlp,,,,,
s0139,skipped,not_genuine_contrast,,,,,
s0145,skipped,off_domain_not_nlp,,,,,
s0148,skipped,not_genuine_contrast,,,,,
s0149,skipped,not_genuine_contrast,,,,,
s0150,skipped,not_genuine_contrast,,,,,
s0151,skipped,not_genuine_contrast,,,,,
s0152,skipped,not_genuine_contrast,,,,,
s0153,skipped,not_genuine_contrast,,,,,
s0157,skipped,not_genuine_contrast,,,,,
s0158,skipped,not_genuine_contrast,,,,,
s0161,skipped,off_domain_not_nlp,,,,,
s0162,skipped,off_domain_not_nlp,,,,,
s0167,skipped,not_genuine_contrast,,,,,
s0168,skipped,not_genuine_contrast,,,,,
s0169,skipped,not_genuine_contrast,,,,,
s0171,skipped,not_genuine_contrast,,,,,
s0172,skipped,not_genuine_contrast,,,,,
s0173,skipped,not_genuine_contrast,,,,,
s0174,skipped,not_genuine_contrast,,,,,
s0181,skipped,not_genuine_contrast,,,,,
s0184,skipped,not_genuine_contrast,,,,,
s0185,skipped,not_genuine_contrast,,,,,
s0188,skipped,not_genuine_contrast,,,,,
s0190,skipped,not_genuine_contrast,,,,,
s0194,pair_created,,channel pruning redundancy scope,"Prunable channels in a convolutional network can be identified by measuring channel redundancy within each layer independently (e.g., via filter-magnitude/geometric-median criteria), without accounting for redundancy relationships across different layers.",li2016pruning,"Channel redundancy for pruning should instead be measured jointly across multiple different layers rather than within a single layer alone, which better minimizes the resulting accuracy loss.",wang2019cop
s0195,pair_created,,channel pruning regularization strategy,"Prunable channels in a convolutional network can be identified by applying an L1-norm sparsity-inducing penalty to batch-normalization scaling factors during training, shrinking unimportant channels' factors toward zero.",liu2017learning,"Prunable channels are better identified using a polarization regularizer on the scaling factors instead of a plain L1-norm penalty, since polarization explicitly pushes each factor toward either zero or a large nonzero value, creating a clear margin between pruned and kept channels rather than uniform shrinkage.",zhuang2020neuron
s0196,pair_created,,privileged vs standard distillation,"A student neural network can acquire a teacher network's knowledge through the standard knowledge distillation paradigm, in which the student learns only from the teacher's outputs and information otherwise available to the student itself.",hinton2015distilling,"Beyond standard teacher-student distillation, model accuracy can be further improved by having the student also learn from privileged information: additional information available only during training (not to the deployed/student model), used for similarity control and knowledge transfer.",vapnik2015learning
s0198,skipped,not_genuine_contrast,,,,,
s0199,skipped,not_genuine_contrast,,,,,
s0203,skipped,not_genuine_contrast,,,,,
s0205,skipped,not_genuine_contrast,,,,,
s0208,skipped,insufficient_context,,,,,
s0218,pair_created,,backdoor attack target in diffusion models,"Backdoors can be injected into text-to-image diffusion models by poisoning the text prompt data used to fine-tune the model's text encoder, so that a trigger phrase causes the encoder to produce an attacker-chosen embedding.",struppek2023rickrolling,"Text-to-image diffusion models can instead be backdoored through multimodal (image-text) data poisoning that fine-tunes the UNet denoising component, rather than the text encoder, to embed the backdoor trigger behavior.",zhai2023text
s0221,skipped,not_genuine_contrast,,,,,
s0222,skipped,not_genuine_contrast,,,,,
s0223,skipped,not_genuine_contrast,,,,,
s0224,skipped,not_genuine_contrast,,,,,
s0227,skipped,not_genuine_contrast,,,,,
s0228,skipped,not_genuine_contrast,,,,,
s0229,skipped,not_genuine_contrast,,,,,
s0230,skipped,not_genuine_contrast,,,,,
s0231,skipped,not_genuine_contrast,,,,,
s0232,skipped,not_genuine_contrast,,,,,
s0233,skipped,not_genuine_contrast,,,,,
s0242,skipped,not_genuine_contrast,,,,,
s0244,skipped,not_genuine_contrast,,,,,
s0246,skipped,not_genuine_contrast,,,,,
s0248,pair_created,,Multi-task learning low-rank regularization,Chen et al. (2011) propose a multi-task learning method that jointly and explicitly optimizes both a low-rank structure component and a group-sparse structure component within the objective function to achieve robust multi-task learning.,chen2011integrating,"Chen et al. (2012) instead learn incoherent sparse and low-rank patterns across multiple tasks by imposing a constraint on the trace norm, which implicitly encourages a low-rank structure rather than optimizing for it directly in the objective.",chen2012learning
s0249,skipped,insufficient_context,,,,,
s0252,skipped,insufficient_context,,,,,
s0253,skipped,not_genuine_contrast,,,,,
s0254,skipped,not_genuine_contrast,,,,,
s0261,skipped,not_genuine_contrast,,,,,
s0263,skipped,not_genuine_contrast,,,,,
s0268,skipped,not_genuine_contrast,,,,,
s0272,skipped,not_genuine_contrast,,,,,
s0273,skipped,not_genuine_contrast,,,,,
s0277,skipped,not_genuine_contrast,,,,,
s0286,pair_created,,Local feature matching paradigm,"S-TREK (Santellani et al., 2023) follows a detect-then-describe strategy for local feature matching, using a translation- and rotation-equivariant keypoint detector paired with a lightweight descriptor extractor.",santellani2023s,"SE2-LoFTR (Bökman & Kahl, 2022) instead adopts a detector-free paradigm, directly extracting pixel-level correspondences between image pairs without any preliminary keypoint detection step.",bokman2022case
s0288,skipped,not_genuine_contrast,,,,,
s0289,pair_created,,Speech waveform generation pipeline design,"WaveGrad (Chen et al., 2020) generates audio by converting a Mel-spectrogram into a waveform, functioning as a vocoder stage in a cascaded text-to-speech pipeline.",chen2020wavegrad,"WaveGrad 2 (Chen et al., 2021) instead adopts an end-to-end approach that takes a phoneme sequence as direct input and generates the audio waveform through an iterative refinement process, without an intermediate Mel-spectrogram step.",chen2021wavegrad
s0290,skipped,insufficient_context,,,,,
s0292,skipped,not_genuine_contrast,,,,,
s0293,skipped,insufficient_context,,,,,
s0295,skipped,not_genuine_contrast,,,,,
s0296,skipped,not_genuine_contrast,,,,,
s0298,skipped,not_genuine_contrast,,,,,
s0300,skipped,not_genuine_contrast,,,,,
s0303,skipped,not_genuine_contrast,,,,,
s0309,skipped,insufficient_context,,,,,
s0311,skipped,not_genuine_contrast,,,,,
s0312,pair_created,,Offline RLHF benchmark construction methodology,Shin et al. (2023) construct offline preference-based reward learning benchmarks and algorithms leveraging synthetic rewards rather than real human preference data.,shin2023benchmarks,"Yuan et al. (2024, Uni-RLHF) instead propose a dataset and benchmark suite for offline RLHF that includes diverse, real human preference data rather than relying on synthetic rewards.",yuan2024unirlhf
s0318,skipped,not_genuine_contrast,,,,,
s0322,pair_created,,Specialized vs. generalist models for medical image segmentation,"nnU-Net (Isensee et al., 2021) is a self-configuring, task-specialized deep learning pipeline designed to achieve state-of-the-art performance in biomedical image segmentation across diverse target classes.",isensee2021nnu,"MedSAM (Ma & Wang, 2023), an adaptation of the generalist Segment Anything Model to medical images, achieves remarkable performance across 14 unseen datasets, 50 target classes, and seven imaging modalities, even surpassing specialized nnU-Net models on each target class.",ma2023segment
s0332,skipped,not_genuine_contrast,,,,,
s0333,skipped,not_genuine_contrast,,,,,
s0335,skipped,not_genuine_contrast,,,,,
s0342,skipped,not_genuine_contrast,,,,,
s0343,pair_created,,Prompt optimization objective granularity,"Prompt-OIRL (Sun, 2023) proposes a query-dependent prompt optimization approach using offline inverse reinforcement learning, tailoring the prompt to each individual query.",sun2023offline,"RLPrompt (Deng et al., 2022) instead optimizes discrete text prompts via reinforcement learning to find a single, distributionally optimal prompt that maximizes expected answer quality across the whole query distribution, rather than adapting the prompt per query.",deng2022rlprompt
s0345,pair_created,,Differentiable neural network pruning mechanism,"DSA (Ning et al., 2020) achieves differentiable budgeted pruning via differentiable sparsity allocation, a mechanism that (unlike PDP) relies on extra trainable parameters.",ning2020dsa,"PDP (Cho et al., 2023) shows that soft pruning masks for weights can be generated in a parameter-free manner, without extra trainable parameters, to accomplish differentiable pruning for both CNNs and Transformers.",cho2023pdp
s0348,skipped,not_genuine_contrast,,,,,
s0357,skipped,not_genuine_contrast,,,,,
s0358,skipped,not_genuine_contrast,,,,,
s0359,skipped,not_genuine_contrast,,,,,
s0362,skipped,not_genuine_contrast,,,,,
s0364,skipped,not_genuine_contrast,,,,,
s0367,skipped,not_genuine_contrast,,,,,
s0368,skipped,not_genuine_contrast,,,,,
s0373,pair_created,,Search space design for hyperparameter transfer learning,"Effective search spaces for hyperparameter optimization can be learned across related datasets using restricted geometrical shapes, offering another view of hyperparameter transfer learning.",perrone2019learning,Search space design for hyperparameter tuning should instead leverage information about similarities between different datasets to construct an uncertain (non-fixed-shape) search space for the target problem.,li2022transfer
s0376,pair_created,,Independence assumption in disentangled representations,"A disentangled representation is defined by isolating unique, semantic factors of variation in the data (implicitly treating these factors as independent).",Locatello2019ChallengingCA,"Contrary to that assumption, the underlying generative factors can be causally interdependent rather than independent (e.g., a light source's position causally affects a shadow's characteristics), so disentangled representation learning should model these causal relationships via structural causal models.",Yang2021CausalVAEDR
