sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b
s0006,skipped,not_genuine_contrast,,,,,
s0007,skipped,not_genuine_contrast,,,,,
s0008,skipped,not_genuine_contrast,,,,,
s0009,skipped,not_genuine_contrast,,,,,
s0011,skipped,not_genuine_contrast,,,,,
s0016,skipped,not_genuine_contrast,,,,,
s0017,skipped,not_genuine_contrast,,,,,
s0018,skipped,not_genuine_contrast,,,,,
s0020,skipped,not_genuine_contrast,,,,,
s0023,skipped,not_genuine_contrast,,,,,
s0026,skipped,same_finding_different_wording,,,,,
s0030,skipped,not_genuine_contrast,,,,,
s0032,skipped,insufficient_context,,,,,
s0033,skipped,not_genuine_contrast,,,,,
s0034,skipped,not_genuine_contrast,,,,,
s0036,skipped,not_genuine_contrast,,,,,
s0039,skipped,not_genuine_contrast,,,,,
s0045,skipped,not_genuine_contrast,,,,,
s0046,skipped,not_genuine_contrast,,,,,
s0049,skipped,insufficient_context,,,,,
s0051,skipped,insufficient_context,,,,,
s0052,skipped,not_genuine_contrast,,,,,
s0055,skipped,not_genuine_contrast,,,,,
s0057,skipped,not_genuine_contrast,,,,,
s0058,skipped,not_genuine_contrast,,,,,
s0063,skipped,not_genuine_contrast,,,,,
s0067,skipped,not_genuine_contrast,,,,,
s0069,skipped,not_genuine_contrast,,,,,
s0072,skipped,insufficient_context,,,,,
s0073,skipped,not_genuine_contrast,,,,,
s0078,skipped,not_genuine_contrast,,,,,
s0079,skipped,not_genuine_contrast,,,,,
