pair_id,label,rationale
r9_000,type1_direct_negation,"A prescribes that concepts must be manually pre-defined by users rather than discovered automatically; B asserts the opposite, that concepts can instead be learned automatically from neuron activations. Same question (how should interpretability concepts be derived) with directly opposed answers, not a dataset/architecture-driven difference, so type1 rather than type4."
r9_001,type1_direct_negation,"A claims narrative sense-making is fundamentally grounded in causal-relation identification; B claims narrative is a distinct mode of thought that must not be reduced to the causal/logico-scientific mode. These are direct opposite answers to the same question (is narrative understanding fundamentally causal reasoning?), not a contextual artifact, so type1."
r9_002,type1_direct_negation,"A locates narrative causality in the text/discourse structure itself; B locates it in the reader's cognitive/mental representation instead. Both address the same question (what is the proper object of study for narrative causality) with mutually exclusive answers, so type1 rather than type4 (no dataset/method confound, just opposed theoretical claims)."
r9_003,type4_apparent_contextual,"A concerns improving code-mixed LMs via linguistically-informed synthetic training data (an explicit training-time intervention), while B concerns the zero-shot code-switching ability of multilingual LLMs with no such intervention. The apparent conflict (one positive, one negative about handling code-switching) dissolves once the different conditions (trained-with-technique vs. untrained zero-shot) are noted, so type4 rather than type1."
r9_004,not_contradiction,"A and B are simply factual descriptions of two different, well-defined learning rules (Hebbian: correlation-based/unsupervised; Delta: error-corrective/supervised). Neither asserts something the other denies about the same rule or phenomenon, so this is not a contradiction of any type."
r9_005,type1_direct_negation,"A asserts ChatGPT can effectively and reliably produce high-quality Boolean queries; B explicitly states LLM-based query generation does not reliably reproduce or generalize, directly contradicting that reliability claim. Both are general claims about the same capability (LLM Boolean query generation quality), not attributable to differing eval setups, so type1."
r9_006,type1_direct_negation,"A holds that computer-mediated communication would foster mutual understanding; B shows hate speech spreads widely, explicitly framed as contradicting that hope. This is a direct clash between an expected outcome and its empirical negation for the same phenomenon (effect of online communities on understanding), so type1 rather than type4."
r9_007,type1_direct_negation,"A claims apparent emergent abilities are a measurement artifact producing smooth, continuous, predictable scaling curves; B claims LLMs display genuine, abrupt, unpredictable emergent jumps. These are mutually exclusive characterizations of the same phenomenon (nature of capability scaling), a classic type1 negation, not a dataset/metric-context reconciliation since the metric-choice explanation is itself what A's claim is built on."
r9_008,type4_apparent_contextual,"A concerns general-purpose LLMs (pre-reasoning-model era, tyen 2024) failing to localize errors in their own reasoning traces; B concerns specialized reasoning-focused models (o1, QwQ) succeeding on the separate ProcessBench benchmark. The conflict is only apparent: different model classes and different evaluation setups, plausibly both true, so type4 rather than type1."
r9_009,type4_apparent_contextual,"A makes a general claim that pretrained LMs are effective inductive reasoners; B's finding is explicitly scoped to 'symbolic settings' in a comprehensive evaluation. The qualifier signals a context-dependent evaluation condition rather than a flat opposite claim about the same setting, so type4 rather than type1."
r9_010,not_contradiction,"B explicitly subordinates its claim to A's ('less catastrophically than neural MT systems'), so the two are complementary rather than opposed: both agree NMT degrades more than humans do under noisy/jumbled input. No type1-4 conflict exists here."
r9_011,type1_direct_negation,"A holds that a single coarse whole-word 'mixed' label suffices for code-switching detection; B holds that this label should instead be expanded to morpheme-level, intra-word distinctions. These are directly opposed prescriptions for the same annotation task (granularity of code-switch labeling), so type1 rather than type4."
r9_012,not_contradiction,A and B describe two different data-collection paradigms (individual volunteer experimentation vs. community-consensus curation) serving different goals; neither claim negates the other's validity or effectiveness. This is not a contradiction of any type.
r9_013,type4_apparent_contextual,"A reports accuracy/performance gains from EchoPrompt rephrasing across zero-shot/few-shot/CoT settings; B reports a safety cost (increased harmful/biased output) specifically for zero-shot CoT measured on harm/bias benchmarks. These concern different evaluation dimensions (task accuracy vs. safety) that can both hold simultaneously, so type4 rather than type1."
r9_014,type1_direct_negation,"A asserts LLMs cannot self-correct via intrinsic self-reflection alone and require external feedback; B asserts self-estimated confidence can improve intrinsic self-correction, explicitly framed as complicating/negating A's no-intrinsic-correction claim. Same question (is unaided intrinsic self-correction possible) with opposite answers, so type1."
r9_015,not_contradiction,"A and B are compatible factual descriptions of two distinct adapter architectures (Houlsby's two-adapters-per-layer vs. Bapna-Firat's single top adapter); B is presented as a simplification of A's design, not a competing claim about the same architecture. No contradiction of any type."
