sentence_id,status,skip_reason,topic,hypothesis_a,source_a,hypothesis_b,source_b,reject_reason
s0003,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0006,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0007,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0010,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0013,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0017,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0019,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0022,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0023,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0027,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0029,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0030,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0031,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0035,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0037,skipped,insufficient_context,,,,,,skipped_by_annotator
s0038,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0040,skipped,insufficient_context,,,,,,skipped_by_annotator
s0043,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0047,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0050,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0052,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0053,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0059,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0060,skipped,insufficient_context,,,,,,skipped_by_annotator
s0063,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0068,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0072,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0075,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0077,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0078,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0079,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0080,skipped,same_finding_different_wording,,,,,,skipped_by_annotator
s0081,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0084,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0093,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0094,skipped,insufficient_context,,,,,,skipped_by_annotator
s0095,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0096,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0097,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0099,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0100,skipped,insufficient_context,,,,,,skipped_by_annotator
s0101,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
s0102,skipped,not_genuine_contrast,,,,,,skipped_by_annotator
