pair_id,label,rationale
r2_000,not_contradiction,"Different domains (general Portuguese NER vs clinical SDoH extraction), NER only a subcomponent"
r2_001,not_contradiction,"Different domains/languages, NER a subcomponent in both, no comparable claim"
r2_002,not_contradiction,"Different domains (clinical SDoH vs gut-brain biomedical IE benchmark)"
r2_003,not_contradiction,"Different languages/architectures (English/French constituency parsing vs Tamil dependency parsing pipeline)"
r2_004,not_contradiction,"Different specific goals (constituency parsing algorithm vs cross-lingual UD transfer)"
r2_005,not_contradiction,"Complementary strategies for low-resource parsing (tool-pipeline vs cross-lingual transfer), not conflicting"
r2_006,not_contradiction,"Different modalities: text lexical-similarity emotion ranking vs speech emotion recognition"
r2_007,not_contradiction,"Different modalities (text vs speech feature comparison)"
r2_008,not_contradiction,"Different settings: single-sentence web-similarity vs conversational ERC curriculum learning"
r2_009,not_contradiction,"Different scope/language (text ER method vs Farsi dialogue benchmark using ER as one subtask)"
r2_010,not_contradiction,"Both speech ER but different datasets/class-counts (IEMOCAP 4-class 69.1% vs RAVDESS 14-class 68%), not comparable numbers -- closest near-miss in this pair group"
r2_011,not_contradiction,"Different task framing: single-utterance vs conversational ERC"
r2_012,not_contradiction,"Different scope (method vs Farsi benchmark)"
r2_013,not_contradiction,"Different task framing: single-utterance feature comparison vs conversational ERC"
r2_014,not_contradiction,"Different scope (feature comparison vs Farsi benchmark)"
r2_015,not_contradiction,"Different scope (curriculum learning method vs benchmark+language)"
r2_016,not_contradiction,"Different objectives: hardware compression efficiency vs training-objective accuracy for ASR"
r2_017,not_contradiction,"Different specific tasks: ASR hardware compression vs speech-translation system description"
r2_018,not_contradiction,"Different contributions: hardware compression vs multilingual data resource"
r2_019,not_contradiction,"Different contributions/domains: hardware compression vs Sudanese dialect ASR"
r2_020,not_contradiction,"Different tasks/metrics: WER-focused training objective vs BLEU-focused speech translation system"
r2_021,not_contradiction,"Different contributions: training objective vs multilingual data resource"
r2_022,not_contradiction,"Different scope: training objective vs Sudanese dialect ASR"
r2_023,not_contradiction,"Completely different tasks (table QA program induction vs LLM pruning study); share only incidental keyword"
r2_024,not_contradiction,"Different domains: general OCR correction vs comics-specific OCR pipeline, no comparable metric"
r2_025,not_contradiction,"Different tasks: biomedical author-role extraction vs general diffusion-based OpenIE architecture"
r2_026,not_contradiction,"Complementary: method paper (English) vs new low-resource cross-lingual dataset (Urdu), not conflicting"
r2_027,not_contradiction,"Different contributions: pretraining objective for summarization vs data-cleaning method for hallucinations"
r2_028,not_contradiction,"Different specific tasks: broad dialogue-system competition overview vs video-localization framework"
r2_029,not_contradiction,"Different languages/tasks: Vietnamese SRL vs English KBQA semantic parsing synthetic-data method"
r2_030,not_contradiction,"Different contributions: turn-taking-timing method vs Farsi benchmark"
r2_031,not_contradiction,"Different domains/languages: French customer-care theme detection vs Vietnamese chatbot data clustering"
r2_032,not_contradiction,"Speaker recognition only tangentially mentioned in both; neither paper's central comparable claim"
r2_033,not_contradiction,"Different tasks: seq2seq regularization (NMT/summarization) vs multimodal fact verification; 'multi-class classification' generic framing"
r2_034,not_contradiction,"Different domains: factory inspection-sheet digitization vs comics OCR text detection"
r2_035,not_contradiction,"Both news-sentiment stock prediction but different sectors/metrics (accuracy% vs MSE/MPA%), not directly comparable -- near-miss"
r2_036,not_contradiction,"Different sub-questions within multilingual NMT: training-regime tradeoffs vs zero-shot representation fix"
r2_037,not_contradiction,"Different focus: general training tradeoffs vs gender-bias architecture study"
r2_038,not_contradiction,"Different research questions: zero-shot quality fix vs gender-bias architecture comparison"
r2_039,not_contradiction,"Different eras/methods (seq2seq explanation fabrication fix vs subgraph-grounded LLM reasoning) for a loosely related meta-problem"
r2_040,not_contradiction,"Different scope/languages: Bengali-specific system vs multilingual GPT-3-scale model using hate speech as one of many eval tasks"
r2_041,not_contradiction,"Both South Asian hate speech detection with F1 but different languages/datasets (Bengali vs Hindi-English code-mixed) -- near-miss"
r2_042,not_contradiction,"Different scope: multilingual GPT-3-scale eval vs Hindi-English shared-task system"
r2_043,not_contradiction,"Different specific contributions (DocVQA retrieval efficiency vs Deep Research agent confidence calibration)"
r2_044,not_contradiction,"Cross-lingual retrieval is a data-construction tool in B, not its own focus; different specific claims"
r2_045,not_contradiction,"'Story generation' a passing future-work mention in A (OCR paper), not its actual claim"
r2_046,not_contradiction,"Different claims: human-vs-LM next-token comparison vs RL-exploration pretraining-objective study"
r2_047,not_contradiction,"Different contributions: DPO difficulty-weighting method vs pruning-effects study"
r2_048,not_contradiction,"Different purposes: reasoning-improvement method vs new evaluation framework"
r2_049,not_contradiction,"Different domains: medical QA vs tabular missing-value imputation"
r2_050,not_contradiction,"Different purposes: evaluation framework vs imputation method"
r2_051,not_contradiction,"Different focus: text dialogue multi-choice QA method vs VLM visual-grounding diagnostic study"
r2_052,not_contradiction,"Both propose competing long-context memory architectures with overlapping claimed task categories, but different specific benchmarks/baselines -- closest 'competing methods' near-miss, same pattern as round-1 KV-cache pair"
r2_053,not_contradiction,"Different contributions: DSL design for code-gen accuracy vs compact code-model training approach"
r2_054,not_contradiction,"Both avoid autoregressive generation but for unrelated tasks (structured extraction vs model routing)"
